status_title,since,booking_status,stage,status,until,type,tag_id,offer_id,user_id
rental.status.on_hold.title,1722110400,,,on_hold,1722920400,on_hold,7288f4fb-8e3b-41ca-b63d-0533299f3a8b,,
Confirmed,1719727200,start_delayed,prereservation,confirmed,1722492000,booking,6caab157-4a97-42a1-b67e-f2af2834a9b4,a722849c-0d38-b0de-d4b4-f55c8eda8731,499ab3d8-054d-45ae-9a7e-d672887d3716
Confirmed,1721979000,start_delayed,prereservation,confirmed,1722319200,booking,f723d734-0803-47ab-99ab-1884a277f2de,d2560af0-b9d4-ab36-a61f-e3a796deabbe,27d1b8c2-af61-4b92-a054-feb0a80b41d0
Confirmed,1722434400,start_delayed,prereservation,confirmed,1723017600,booking,618baf1c-6f7f-468f-a345-4d78828bd68b,17c90964-4a69-c32c-c19b-4962f4ac6a6a,d84338fd-8cb2-4d40-8195-beee42bbda24
Confirmed,1722319200,start_delayed,prereservation,confirmed,1722578400,booking,1a8ff847-a3be-4a5f-82bc-98c30e5e5a38,a0c98a55-40bc-74e0-b1de-b22d760bc3e7,fe186593-4928-428c-9833-2bc4fea94a5c
rental.status.on_hold.title,1722142800,,,on_hold,1724788800,on_hold,bcc756a5-d83d-451c-af0f-ee2335fc4c68,,
rental.status.on_hold.title,1721883600,,,on_hold,1721970000,on_hold,ae0f8ab5-ddeb-4b52-afb3-45fab5f5292f,,
rental.status.on_hold.title,1721970000,,,on_hold,1722056400,on_hold,0cb2c54e-6425-41a3-9a1e-db07a9404323,,
rental.status.on_hold.title,1722142800,,,on_hold,1724788800,on_hold,624eac5e-619e-4f26-a3cf-f7f27cda8f78,,
rental.status.on_hold.title,1721970000,,,on_hold,1722056400,on_hold,f89d93cc-a84c-425c-969a-01748beb7318,,
Confirmed,1721973600,start_delayed,prereservation,confirmed,1722319200,booking,6911f761-c52a-4680-ac14-cb205f1a0d67,6ebbfc2c-a8ed-b18a-c2d1-81dec7d0251a,e9a682c0-1725-43fb-87dd-3f54ed0e2302
Confirmed,1721973600,start_delayed,prereservation,confirmed,1723528800,booking,601f83e0-a2c8-4147-b92f-af0dbacdf373,4e9af128-111d-62b0-2e08-86ebeaed7c5e,7f9058c5-8b47-4907-a9d6-7f07f25392ee
Confirmed,1720015200,start_delayed,prereservation,confirmed,1722607200,booking,68f046dc-ee8e-412b-afac-8f18a35d87fa,27f10494-a4d0-e87e-a4b4-df772624a8c7,1a8fbf4a-6cd9-4098-a4c0-50b1d7ebbe72
rental.status.on_hold.title,1722142800,,,on_hold,1724788800,on_hold,a4b2c106-46ab-4d84-b646-90235e0e096b,,
Confirmed,1722060000,start_delayed,prereservation,confirmed,1722837600,booking,6af7b6e7-c144-4665-97e9-1a3f89e0de1f,c567a9c2-20cc-5e86-5eca-fa1ad158c6ee,7b8ecdf6-9c95-40ea-afcb-72339ed4e756
Confirmed,1721887200,start_delayed,prereservation,confirmed,1722319200,booking,0f8fd7f9-db8c-48a8-b8f7-7af3f1255388,9448db4b-6507-e7bb-fa95-0faed3a1262d,5b7a8473-7707-4d5b-9441-9911f088e308
Confirmed,1722088800,start_delayed,prereservation,confirmed,1722348000,booking,4c0a7434-94d6-499d-b967-18027a86adfd,088f2a5b-fbba-693c-47e7-59523e3331d2,bab3f6ec-bf4b-4582-8d7f-f519feaa1a7b
Confirmed,1722520800,start_delayed,prereservation,confirmed,1722780000,booking,d4094b7b-69f2-47b3-b352-4f45264dbaac,12f852c1-14bf-490b-72f7-c01e7c875d7f,61ec495f-e956-4bba-93c0-42cb771fe3c9
Confirmed,1722423600,start_delayed,prereservation,confirmed,1723201200,booking,6f92b84b-bffb-4025-8b78-ba34d37907ae,87a06798-f3df-da7b-a4aa-043913957416,77e7937b-adb9-44f9-b0fa-d22f525958d3
Confirmed,1722495600,start_delayed,prereservation,confirmed,1724176800,booking,24fec594-e34a-4097-aae2-81ff0d802b36,b0c9f03d-d233-ef19-89ad-42621797feb5,1807f587-8618-47f5-ba2a-0e98b1695d45
