deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,NISSAN,[],[],,,True,[],,,SUNNY,NISSAN,,,,SUNNY,,88788a0100a8e17d696571e76b8afd50,,,,NISSAN SUNNY
False,NISSAN,[],[],,,True,[],,,TIDA,NISSAN,,,,TIDA,,be18047cd0559bccf4880372c162aad1,,,,NISSAN TIDA
False,NISSAN,[],[],,,True,[],,,URVAN,NISSAN,,,,URVAN,,9a84ab6536f5f482f9f0ccdc2b59874a,,,,NISSAN URVAN
False,NISSAN,[],[],,,True,[],,,X-TRAIL,NISSAN,,,,X-TRAIL,,9a9e38bf7c999708cca9ff53f4456b4a,,,,NISSAN X-TRAIL
False,NISSAN SUNNY,[],[],,,True,[],,,2024,NISSAN SUNNY,,,,2024,,4ffc84a3492d91e8a2133b4f6b53b9f0,,,,NISSAN SUNNY 2024
False,Nissan,[],[],,,True,[],,,Patrol NIsmo,Nissan,,,,Patrol NIsmo,,4e30f2fa695a766e903de1c9378f5e99,,,,Nissan Patrol NIsmo
False,Nissan Patrol,[],[],,,True,[],,,LE Platinum,Nissan Patrol,,,,LE Platinum,,71a5a357a431445faa117d41e86939dd,,,,Nissan Patrol LE Platinum
False,RENAULT,[],[],,,True,[],,,DUSTER,RENAULT,,,,DUSTER,,23e099952a81ca46c53eb80f7f22411c,,,,RENAULT DUSTER
False,RENAULT,[],[],,,True,[],,,SYMBOL,RENAULT,,,,SYMBOL,,478684d3e20a4492c3a25e7b86b7b897,,,,RENAULT SYMBOL
False,TOYOTA,[],[],,,True,[],,,COROLLA,TOYOTA,,,,COROLLA,,9a404386ed38faf2a0f90db440b6419b,,,,TOYOTA COROLLA
False,TOYOTA,[],[],,,True,[],,,RUSH,TOYOTA,,,,RUSH,,42f91fb434f5738dd7d39053d5f80ebd,,,,TOYOTA RUSH
