first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,a367a9ccc5ce9e7dc9e28db29a2288a9,[],[],,,,NISSAN,True,False,,SENTRA,SENTRA,,NISSAN SENTRA,,,,NISSAN,,[]
,,88788a0100a8e17d696571e76b8afd50,[],[],,,,NISSAN,True,False,,SUNNY,SUNNY,,NISSAN SUNNY,,,,NISSAN,,[]
,,be18047cd0559bccf4880372c162aad1,[],[],,,,NISSAN,True,False,,TIDA,TIDA,,NISSAN TIDA,,,,NISSAN,,[]
,,9a84ab6536f5f482f9f0ccdc2b59874a,[],[],,,,NISSAN,True,False,,URVAN,URVAN,,NISSAN URVAN,,,,NISSAN,,[]
,,9a9e38bf7c999708cca9ff53f4456b4a,[],[],,,,NISSAN,True,False,,X-TRAIL,X-TRAIL,,NISSAN X-TRAIL,,,,NISSAN,,[]
,,4ffc84a3492d91e8a2133b4f6b53b9f0,[],[],,,,NISSAN SUNNY,True,False,,2024,2024,,NISSAN SUNNY 2024,,,,NISSAN SUNNY,,[]
,,4e30f2fa695a766e903de1c9378f5e99,[],[],,,,Nissan,True,False,,Patrol NIsmo,Patrol NIsmo,,Nissan Patrol NIsmo,,,,Nissan,,[]
,,71a5a357a431445faa117d41e86939dd,[],[],,,,Nissan Patrol,True,False,,LE Platinum,LE Platinum,,Nissan Patrol LE Platinum,,,,Nissan Patrol,,[]
,,23e099952a81ca46c53eb80f7f22411c,[],[],,,,RENAULT,True,False,,DUSTER,DUSTER,,RENAULT DUSTER,,,,RENAULT,,[]
,,478684d3e20a4492c3a25e7b86b7b897,[],[],,,,RENAULT,True,False,,SYMBOL,SYMBOL,,RENAULT SYMBOL,,,,RENAULT,,[]
,,9a404386ed38faf2a0f90db440b6419b,[],[],,,,TOYOTA,True,False,,COROLLA,COROLLA,,TOYOTA COROLLA,,,,TOYOTA,,[]
,,42f91fb434f5738dd7d39053d5f80ebd,[],[],,,,TOYOTA,True,False,,RUSH,RUSH,,TOYOTA RUSH,,,,TOYOTA,,[]
