manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
NISSAN,,[],,SUNNY,,,True,SUNNY,,NISSAN,,,,,[],,[],False,,NISSAN SUNNY,88788a0100a8e17d696571e76b8afd50
NISSAN,,[],,TIDA,,,True,TIDA,,NISSAN,,,,,[],,[],False,,NISSAN TIDA,be18047cd0559bccf4880372c162aad1
NISSAN,,[],,URVAN,,,True,URVAN,,NISSAN,,,,,[],,[],False,,NISSAN URVAN,9a84ab6536f5f482f9f0ccdc2b59874a
NISSAN,,[],,X-TRAIL,,,True,X-TRAIL,,NISSAN,,,,,[],,[],False,,NISSAN X-TRAIL,9a9e38bf7c999708cca9ff53f4456b4a
NISSAN SUNNY,,[],,2024,,,True,2024,,NISSAN SUNNY,,,,,[],,[],False,,NISSAN SUNNY 2024,4ffc84a3492d91e8a2133b4f6b53b9f0
Nissan,,[],,Patrol NIsmo,,,True,Patrol NIsmo,,Nissan,,,,,[],,[],False,,Nissan Patrol NIsmo,4e30f2fa695a766e903de1c9378f5e99
Nissan Patrol,,[],,LE Platinum,,,True,LE Platinum,,Nissan Patrol,,,,,[],,[],False,,Nissan Patrol LE Platinum,71a5a357a431445faa117d41e86939dd
RENAULT,,[],,DUSTER,,,True,DUSTER,,RENAULT,,,,,[],,[],False,,RENAULT DUSTER,23e099952a81ca46c53eb80f7f22411c
RENAULT,,[],,SYMBOL,,,True,SYMBOL,,RENAULT,,,,,[],,[],False,,RENAULT SYMBOL,478684d3e20a4492c3a25e7b86b7b897
TOYOTA,,[],,COROLLA,,,True,COROLLA,,TOYOTA,,,,,[],,[],False,,TOYOTA COROLLA,9a404386ed38faf2a0f90db440b6419b
TOYOTA,,[],,RUSH,,,True,RUSH,,TOYOTA,,,,,[],,[],False,,TOYOTA RUSH,42f91fb434f5738dd7d39053d5f80ebd
