manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
MERCEDES,,[],,GTC-AMG-CONV,,,True,GTC-AMG-CONV,,MERCEDES,,,,,[],,[],False,,MERCEDES GTC-AMG-CONV,ed9c61c27c208c4410933d64129145fa
MERCEDES,,[],,METRIS-VIANO,,,True,METRIS-VIANO,,MERCEDES,,,,,[],,[],False,,MERCEDES METRIS-VIANO,acf174c652f62cca3eb49077f708f845
MERCEDES,,[],,S500,,,True,S500,,MERCEDES,,,,,[],,[],False,,MERCEDES S500,362419d9217c1dbe4db88ae2d09b5ae8
MERCEDES,,[],,S560,,,True,S560,,MERCEDES,,,,,[],,[],False,,MERCEDES S560,2827a3583c142952082902f2f74abeac
MERCEDES,,[],,S560,,,True,S560,,MERCEDES,,,,,[],,[],False,,MERCEDES S560,85c5b9853c13b77adbe3b869cdc6a320
MERCEDES S580,,[],,2022,,,True,2022,,MERCEDES S580,,,,,[],,[],False,,MERCEDES S580 2022,4b4f5a594bba26dd5bc08b4cd9d82d86
METRIS,,[],,VAN CUSTOMIZE,,,True,VAN CUSTOMIZE,,METRIS,,,,,[],,[],False,,METRIS VAN CUSTOMIZE,4b1e89c94b2d58511ffbeeb682fe4e6e
NISSAN,,[],,PATHFINDER,,,True,PATHFINDER,,NISSAN,,,,,[],,[],False,,NISSAN PATHFINDER,52fce43b62feb39f388e455ff476f2c4
NISSAN,,[],,PATROL,,,True,PATROL,,NISSAN,,,,,[],,[],False,,NISSAN PATROL,0606b5f54b61f86d60640656c691ce90
NISSAN,,[],,PATROL ARMADA,,,True,PATROL ARMADA,,NISSAN,,,,,[],,[],False,,NISSAN PATROL ARMADA,4dd57fe22ef4324c9f6c75165a3ed01e
NISSAN,,[],,PATROL PLATINUIM,,,True,PATROL PLATINUIM,,NISSAN,,,,,[],,[],False,,NISSAN PATROL PLATINUIM,a4f184a1e5090b2e1f7415bd97c739ab
PORSCHE,,[],,911,,,True,911,,PORSCHE,,,,,[],,[],False,,PORSCHE 911,b5141887b4b5f4d5dc080fa7410d7bd2
PORSCHE,,[],,CAYENNE,,,True,CAYENNE,,PORSCHE,,,,,[],,[],False,,PORSCHE CAYENNE,579388f701d8b05d2c94daa3bcf373ea
PORSCHE,,[],,PANAMERA,,,True,PANAMERA,,PORSCHE,,,,,[],,[],False,,PORSCHE PANAMERA,622b37e6bd6b721c814d6a93a734483d
RANGE ROVER,,[],,DISCOVERY,,,True,DISCOVERY,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER DISCOVERY,735f3f52000e6ab2f01c284c65fc847b
RANGE ROVER,,[],,DISCOVERY SPTS,,,True,DISCOVERY SPTS,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER DISCOVERY SPTS,3edc34fc9b0346e303e6ff18aad71fe3
RANGE ROVER,,[],,EVOQUE,,,True,EVOQUE,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER EVOQUE,92891ab83a8bc0f341a3b5ae0d5bd274
RANGE ROVER,,[],,SPORT,,,True,SPORT,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER SPORT,cbb98efb2ee32d60681929839966c2b7
RANGE ROVER,,[],,SPORT-BW,,,True,SPORT-BW,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER SPORT-BW,4e04baa1f763e40bbf19f1137078c55c
RANGE ROVER,,[],,SPORT-INSIDE BEIGE,,,True,SPORT-INSIDE BEIGE,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER SPORT-INSIDE BEIGE,1f83655d9c2342c7eaf7623f6efa0886
RANGE ROVER,,[],,SPORT-red interior,,,True,SPORT-red interior,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER SPORT-red interior,fd5a1523d2bba898b86cba4ee98ca645
RANGE ROVER,,[],,SVR,,,True,SVR,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER SVR,b06cab798c267c210fa51e0592ab5786
RANGE ROVER,,[],,SVR-INSIDE RED,,,True,SVR-INSIDE RED,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER SVR-INSIDE RED,e3f5eeadc6f5a71ebd9d57af7b1c8cd9
RANGE ROVER,,[],,VELAR,,,True,VELAR,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER VELAR,449ae5c0bd8105e446997ef2b31c0d4e
RANGE ROVER,,[],,VELAR-NEW,,,True,VELAR-NEW,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER VELAR-NEW,994f013ff14bbcb8a250ee89a34d38d3
RANGE ROVER,,[],,VOGUE-AUTOB,,,True,VOGUE-AUTOB,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER VOGUE-AUTOB,248c5f5d11801eac9a6301e2202c8b29
RANGE ROVER,,[],,VOGUE-auto,,,True,VOGUE-auto,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER VOGUE-auto,faa1a01d0bcacf5b5580fb767893bd26
ROLLS ROYCE,,[],,GHOST,,,True,GHOST,,ROLLS ROYCE,,,,,[],,[],False,,ROLLS ROYCE GHOST,94bf82911fbb71a2ad4aadf6fe2e7137
ROLLS ROYCE,,[],,GHOST W-STAR,,,True,GHOST W-STAR,,ROLLS ROYCE,,,,,[],,[],False,,ROLLS ROYCE GHOST W-STAR,4249022bfb2fcdb2fafdb39b457b2086
ROLLS ROYCE,,[],,WRAITH,,,True,WRAITH,,ROLLS ROYCE,,,,,[],,[],False,,ROLLS ROYCE WRAITH,e5c97e053dcba0c3358192a2d6032983
