deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,MERCEDES,[],[],,,True,[],,,GTC-AMG-CONV,MERCEDES,,,,GTC-AMG-CONV,,ed9c61c27c208c4410933d64129145fa,,,,MERCEDES GTC-AMG-CONV
False,MERCEDES,[],[],,,True,[],,,METRIS-VIANO,MERCEDES,,,,METRIS-VIANO,,acf174c652f62cca3eb49077f708f845,,,,MERCEDES METRIS-VIANO
False,MERCEDES,[],[],,,True,[],,,S500,MERCEDES,,,,S500,,362419d9217c1dbe4db88ae2d09b5ae8,,,,MERCEDES S500
False,MERCEDES,[],[],,,True,[],,,S560,MERCEDES,,,,S560,,2827a3583c142952082902f2f74abeac,,,,MERCEDES S560
False,MERCEDES,[],[],,,True,[],,,S560,MERCEDES,,,,S560,,85c5b9853c13b77adbe3b869cdc6a320,,,,MERCEDES S560
False,MERCEDES S580,[],[],,,True,[],,,2022,MERCEDES S580,,,,2022,,4b4f5a594bba26dd5bc08b4cd9d82d86,,,,MERCEDES S580 2022
False,METRIS,[],[],,,True,[],,,VAN CUSTOMIZE,METRIS,,,,VAN CUSTOMIZE,,4b1e89c94b2d58511ffbeeb682fe4e6e,,,,METRIS VAN CUSTOMIZE
False,NISSAN,[],[],,,True,[],,,PATHFINDER,NISSAN,,,,PATHFINDER,,52fce43b62feb39f388e455ff476f2c4,,,,NISSAN PATHFINDER
False,NISSAN,[],[],,,True,[],,,PATROL,NISSAN,,,,PATROL,,0606b5f54b61f86d60640656c691ce90,,,,NISSAN PATROL
False,NISSAN,[],[],,,True,[],,,PATROL ARMADA,NISSAN,,,,PATROL ARMADA,,4dd57fe22ef4324c9f6c75165a3ed01e,,,,NISSAN PATROL ARMADA
False,NISSAN,[],[],,,True,[],,,PATROL PLATINUIM,NISSAN,,,,PATROL PLATINUIM,,a4f184a1e5090b2e1f7415bd97c739ab,,,,NISSAN PATROL PLATINUIM
False,PORSCHE,[],[],,,True,[],,,911,PORSCHE,,,,911,,b5141887b4b5f4d5dc080fa7410d7bd2,,,,PORSCHE 911
False,PORSCHE,[],[],,,True,[],,,CAYENNE,PORSCHE,,,,CAYENNE,,579388f701d8b05d2c94daa3bcf373ea,,,,PORSCHE CAYENNE
False,PORSCHE,[],[],,,True,[],,,PANAMERA,PORSCHE,,,,PANAMERA,,622b37e6bd6b721c814d6a93a734483d,,,,PORSCHE PANAMERA
False,RANGE ROVER,[],[],,,True,[],,,DISCOVERY,RANGE ROVER,,,,DISCOVERY,,735f3f52000e6ab2f01c284c65fc847b,,,,RANGE ROVER DISCOVERY
False,RANGE ROVER,[],[],,,True,[],,,DISCOVERY SPTS,RANGE ROVER,,,,DISCOVERY SPTS,,3edc34fc9b0346e303e6ff18aad71fe3,,,,RANGE ROVER DISCOVERY SPTS
False,RANGE ROVER,[],[],,,True,[],,,EVOQUE,RANGE ROVER,,,,EVOQUE,,92891ab83a8bc0f341a3b5ae0d5bd274,,,,RANGE ROVER EVOQUE
False,RANGE ROVER,[],[],,,True,[],,,SPORT,RANGE ROVER,,,,SPORT,,cbb98efb2ee32d60681929839966c2b7,,,,RANGE ROVER SPORT
False,RANGE ROVER,[],[],,,True,[],,,SPORT-BW,RANGE ROVER,,,,SPORT-BW,,4e04baa1f763e40bbf19f1137078c55c,,,,RANGE ROVER SPORT-BW
False,RANGE ROVER,[],[],,,True,[],,,SPORT-INSIDE BEIGE,RANGE ROVER,,,,SPORT-INSIDE BEIGE,,1f83655d9c2342c7eaf7623f6efa0886,,,,RANGE ROVER SPORT-INSIDE BEIGE
False,RANGE ROVER,[],[],,,True,[],,,SPORT-red interior,RANGE ROVER,,,,SPORT-red interior,,fd5a1523d2bba898b86cba4ee98ca645,,,,RANGE ROVER SPORT-red interior
False,RANGE ROVER,[],[],,,True,[],,,SVR,RANGE ROVER,,,,SVR,,b06cab798c267c210fa51e0592ab5786,,,,RANGE ROVER SVR
False,RANGE ROVER,[],[],,,True,[],,,SVR-INSIDE RED,RANGE ROVER,,,,SVR-INSIDE RED,,e3f5eeadc6f5a71ebd9d57af7b1c8cd9,,,,RANGE ROVER SVR-INSIDE RED
False,RANGE ROVER,[],[],,,True,[],,,VELAR,RANGE ROVER,,,,VELAR,,449ae5c0bd8105e446997ef2b31c0d4e,,,,RANGE ROVER VELAR
False,RANGE ROVER,[],[],,,True,[],,,VELAR-NEW,RANGE ROVER,,,,VELAR-NEW,,994f013ff14bbcb8a250ee89a34d38d3,,,,RANGE ROVER VELAR-NEW
False,RANGE ROVER,[],[],,,True,[],,,VOGUE-AUTOB,RANGE ROVER,,,,VOGUE-AUTOB,,248c5f5d11801eac9a6301e2202c8b29,,,,RANGE ROVER VOGUE-AUTOB
False,RANGE ROVER,[],[],,,True,[],,,VOGUE-auto,RANGE ROVER,,,,VOGUE-auto,,faa1a01d0bcacf5b5580fb767893bd26,,,,RANGE ROVER VOGUE-auto
False,ROLLS ROYCE,[],[],,,True,[],,,GHOST,ROLLS ROYCE,,,,GHOST,,94bf82911fbb71a2ad4aadf6fe2e7137,,,,ROLLS ROYCE GHOST
False,ROLLS ROYCE,[],[],,,True,[],,,GHOST W-STAR,ROLLS ROYCE,,,,GHOST W-STAR,,4249022bfb2fcdb2fafdb39b457b2086,,,,ROLLS ROYCE GHOST W-STAR
False,ROLLS ROYCE,[],[],,,True,[],,,WRAITH,ROLLS ROYCE,,,,WRAITH,,e5c97e053dcba0c3358192a2d6032983,,,,ROLLS ROYCE WRAITH
