status_title,status,user_id,tag_id,booking_status,since,type,offer_id,stage,until
rental.status.on_hold.title,on_hold,,128436c6-a7c4-4dd5-8bbb-3439c3a803a5,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,99b1d545-a97f-437a-9726-64e13c9e6c9a,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,f33f6200-6d4f-4989-8640-0d45e8f5223a,,1721106000,on_hold,,,1723784400
rental.status.on_hold.title,on_hold,,15d804bc-fa57-4f54-a16d-81d33eb4d616,,1721451600,on_hold,,,1724130000
Confirmed,confirmed,825ed45b-9aed-4b06-bb4c-93ca8a421974,e54265dd-c748-4a70-8916-d42fba281fa6,start_delayed,1722337200,booking,c4c35cd5-fe82-8156-17ae-5152b2b7c397,prereservation,1722510000
rental.status.on_hold.title,on_hold,,db8a03a6-e904-43ee-b75b-727f370d9780,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,fcd33fe4-c40d-4ed7-817c-e8900d1ec30e,,1722142800,on_hold,,,1724821200
rental.status.on_hold.title,on_hold,,adfd7c7c-0d3c-4842-85d4-ac4bab8164a8,,1721106000,on_hold,,,1723784400
rental.status.on_hold.title,on_hold,,c229ff53-02c0-43c3-91e5-2781303ff360,,1722315600,on_hold,,,1724994000
rental.status.on_hold.title,on_hold,,49e8f7b0-0bb7-4e1a-9706-9e8efd578009,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,82c68cb1-032c-416c-8ea8-0047a24f82ca,,1721365200,on_hold,,,1724043600
rental.status.on_hold.title,on_hold,,c66be433-acb5-4b84-84e7-b0b890ee0f83,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,d3c8547b-7f7e-4f78-9019-313e191d73f8,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,97363f1c-2eb0-4cba-8a3d-b160ab185106,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,ae0e7d7c-5a93-434d-810f-987631ac1b9f,,1721106000,on_hold,,,1723784400
rental.status.on_hold.title,on_hold,,a3144f8c-04dd-432f-9301-a28189a21f78,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,ddeb19f1-7b26-410e-9961-6647f875cc81,,1721192400,on_hold,,,1723838400
Confirmed,confirmed,85455c78-aec2-467f-b19a-f4279b37a016,3f1b469e-6740-4518-a37c-df9e589c240d,start_delayed,1721977200,booking,6cf9d6c1-c783-b51e-bb06-95a67ef2463b,prereservation,1722146400
Confirmed,confirmed,484d7e96-2a31-43d7-82f4-f2678bc4a526,f3a40c72-03a5-4561-a4ad-f76ba2c57957,start_delayed,1722600000,booking,79cc6ed5-adfb-c295-c0c8-69f386d64226,prereservation,1722686400
rental.status.on_hold.title,on_hold,,95a04ec8-21c1-4191-bddb-9649f66c7f19,,1722056400,on_hold,,,1724821200
rental.status.on_hold.title,on_hold,,9e7c5863-4854-465a-a7e4-3fbb50738171,,1721160000,on_hold,,,1723838400
rental.status.on_hold.title,on_hold,,d8560cd4-c93d-4e88-93ca-92b138773a96,,1722142800,on_hold,,,1724821200
Confirmed,confirmed,1a2813b0-2a4a-479d-82bd-8d02c7c969af,2ea6290e-c9b9-4ed5-a735-dbe9809eb20b,start_delayed,1721811600,booking,32bec681-f11e-1807-73d3-e77a97ca2661,prereservation,1722070800
rental.status.on_hold.title,on_hold,,cbce184e-2f22-48ce-954b-0073af01b7db,,1722142800,on_hold,,,1724821200
rental.status.on_hold.title,on_hold,,f4d8ed80-ff38-45f0-bc63-a2e9105ab332,,1720674000,on_hold,,,1723438800
Confirmed,confirmed,4287d42d-5984-4541-89a3-bc9b25fe35f5,9e108ee7-9424-4f40-88d8-e9c1aee94f5b,start_delayed,1721052000,booking,a17488f3-8648-2c4a-f0d0-1475a70f1747,prereservation,1722434400
rental.status.on_hold.title,on_hold,,cc1669e0-b0b2-4712-bca2-4defa06aec30,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,c3162bf3-6b8a-4e85-b93b-b5f2190784ae,,1722315600,on_hold,,,1725080400
rental.status.on_hold.title,on_hold,,c3041d44-dd57-466f-84d5-10da2e7086b8,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,4e98a060-37e1-4a5a-8406-0fab2af0fa23,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,f450db62-3a7f-4481-a891-25f94637cb03,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,9e177b2d-ca99-4a5f-85b4-cdde78df72af,,1722056400,on_hold,,,1724821200
Confirmed,confirmed,0913a0e2-4c6d-414c-8fc2-974a37da38a5,4d79ed5c-445a-4b44-8104-bbc033380417,start_delayed,1722079800,booking,59ea6251-8648-106f-3925-2330cd0a6ef8,prereservation,1722166200
Confirmed,confirmed,a070ffcd-b7f9-4d09-b51d-7adfb5254db3,0aa5d680-5742-4216-b533-e411766d0350,start_delayed,1722232800,booking,77c7e440-2dc6-63e9-dfb0-5257dc4ca8e2,prereservation,1722319200
rental.status.on_hold.title,on_hold,,7f6b8b12-0972-416b-b160-d20ee9a5f3c2,,1722319200,on_hold,,,1724994000
rental.status.on_hold.title,on_hold,,71faa2df-52ab-487c-bb58-08715a704c52,,1721019600,on_hold,,,1723698000
rental.status.on_hold.title,on_hold,,b5b67b55-6973-4b82-9bec-636aad3283da,,1721106000,on_hold,,,1723784400
rental.status.on_hold.title,on_hold,,57dc6191-c14d-426d-a95e-d7777e698bc5,,1721451600,on_hold,,,1724130000
rental.status.on_hold.title,on_hold,,7991ddeb-a58e-4b2e-8285-9618ae8e068d,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,4f7318a7-3b84-4b1b-bf79-e8583826103e,,1722488400,on_hold,,,1725080400
rental.status.on_hold.title,on_hold,,c21acd0d-1221-44a5-9ce5-c3f4b1bcc8f2,,1721710800,on_hold,,,1724475600
rental.status.on_hold.title,on_hold,,31a964c6-14d0-4912-812d-0583bcf0d992,,1721883600,on_hold,,,1724562000
rental.status.on_hold.title,on_hold,,fc934bcd-3c6b-46b7-b9e7-9096601bfee2,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,6d4c7c51-1a36-4f37-bb69-48aec65fb296,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,c67df80a-5c23-4dcd-8e39-f37f73268a68,,1722315600,on_hold,,,1725080400
rental.status.on_hold.title,on_hold,,d0f4d259-b138-43b8-bc1b-ab4be454ea32,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,d3698de4-2ada-43d9-9291-24dcb3e4b357,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,834ea6b8-5411-4096-b930-312f3a8c8c7e,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,3885e548-1d66-47c3-b54b-7057515f51cf,,1722142800,on_hold,,,1724821200
rental.status.on_hold.title,on_hold,,8cd0ce5c-14d6-41a4-9b0a-7177fa3ceb08,,1721710800,on_hold,,,1724389200
rental.status.on_hold.title,on_hold,,37ed5279-14a7-4739-ae25-9f11ce321592,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,88e9caee-44fc-4286-b9c4-1ad7283b8cf0,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,cab1f27e-1a72-4ec0-b4d0-b29bb34a3dda,,1721019600,on_hold,,,1723698000
rental.status.on_hold.title,on_hold,,c57a8817-242d-4843-9cb8-024e3adf5f6b,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,1af87cc1-7eb1-4a5a-86ce-6e05f062e9a6,,1721710800,on_hold,,,1724389200
Confirmed,confirmed,6a7ce8a1-0f55-4e87-8a5a-ee13b335cf2c,6f66910a-9127-43f2-bba5-444633126503,start_delayed,1722250800,booking,40903b28-12c5-e9ef-d282-0f1ab264b286,prereservation,1722855600
rental.status.on_hold.title,on_hold,,1535a961-df5b-47d2-856d-0d00de31bb90,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,13d0699f-6713-41f3-bea0-f4e0256e9c3b,,1721883600,on_hold,,,1724562000
rental.status.on_hold.title,on_hold,,f5b063d5-5bcf-4bbd-b89f-c9d9d9bca494,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,8215b84c-87f5-4b7a-92fc-1a5779c1ec3d,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,856018eb-bc44-4ea9-b45a-9dbda762ab60,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,60d96377-cac1-4f59-934d-a6eba0cfe534,,1722574800,on_hold,,,1725339600
Confirmed,confirmed,16c84b54-4d30-4422-afdc-0bf321d93467,6ea8f7ac-29f9-407d-86ac-aaf60130acfc,start_delayed,1722492000,booking,19506dd6-7458-4bb5-b638-abfd094aadd8,prereservation,1722751200
rental.status.on_hold.title,on_hold,,2e537f8a-e78d-464c-991a-ec334aeda428,,1720674000,on_hold,,,1723438800
Confirmed,confirmed,0b8c1072-88bf-4c1c-9bb8-bc7fb6febd5b,e85d36ab-7d16-4542-81c0-36ecfa4818e0,start_delayed,1722060000,booking,2068c169-f78a-7538-8974-f44dc740ff8d,prereservation,1722146400
rental.status.on_hold.title,on_hold,,e0050421-e684-46c0-b143-64d9fd4648d0,,1722402000,on_hold,,,1722488400
Confirmed,confirmed,df7348d9-19a5-4c6e-95d7-a7414bf568dc,636ab7d1-079b-41bd-86a9-eeb2ca552081,start_delayed,1722528000,booking,bd8afaac-16e6-6e21-e63e-854378f507a6,prereservation,1722783600
rental.status.on_hold.title,on_hold,,23c1d7a8-5665-4140-ab6d-5fea0844a450,,1722488400,on_hold,,,1725080400
rental.status.on_hold.title,on_hold,,bd355f94-1b13-4cbe-a8b7-3931713b89f3,,1721883600,on_hold,,,1724562000
rental.status.on_hold.title,on_hold,,b3750c0b-f502-4856-858c-c15672d5df0a,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,8279cf62-e289-47c5-9331-57324241fdc4,,1721710800,on_hold,,,1724389200
rental.status.on_hold.title,on_hold,,705c359a-c917-4190-baca-b43729c3649d,,1722056400,on_hold,,,1724821200
rental.status.on_hold.title,on_hold,,d2fe564e-2533-49a3-a572-059ac19e280e,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,348821cd-ecdf-4788-b864-d7414c3ce21a,,1721451600,on_hold,,,1724130000
rental.status.on_hold.title,on_hold,,cfe6c847-ffe1-4bcb-aac8-ef2e09322341,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,0a8ce5e3-848c-413c-a86e-9ab38cbbe40d,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,d68ec0cf-be10-46fd-8296-fc993ea4ffb3,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,4205ae03-9288-47fe-8668-f672494a7917,,1721019600,on_hold,,,1723698000
rental.status.on_hold.title,on_hold,,efb5e24f-7e14-4662-ac85-971f07b78781,,1721883600,on_hold,,,1724562000
rental.status.on_hold.title,on_hold,,139730a8-92f7-4969-b941-621be23b17c8,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,d70ecacd-7d10-4727-9c14-3ec2eb63eb7e,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,cf0c0419-a1f3-463a-897d-9581268f12f6,,1720674000,on_hold,,,1723438800
rental.status.on_hold.title,on_hold,,dff39ff1-323a-470f-b764-f3ae1a135352,,1720674000,on_hold,,,1723438800
