ya_id,ya_number,ya_merge_manufacturer,ya_merge_short_name,takamol_CarNo,takamol_Model,takamol_MemberNo,takamol_CarKey,takamol_CarName,takamol_Reservations
cf39afe7-289e-4040-8646-74bee1df8847,y52640,JAGUAR,F-PACE,52640,2020,2047,69310,JAGUAR F-PACE,"[{'ReservationKey': 0, 'CarKey': 69310, 'CustomerName': 'Running Contract, 13409', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/21/2023 7:11:00 PM', 'ToDateTime': '11/22/2023 7:11:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
eb2ffebd-2107-4c86-82cb-27e4a8be8bdb,h64990,LEXUS,GX460,64990,2021,2047,112680,LEXUS GX 460,
52dbb374-4165-4752-8f63-5e9479d89a86,y79563,MASERATI,GHIBLI,79563,2019,2047,70514,MASERATI GHIBLI,"[{'ReservationKey': 0, 'CarKey': 70514, 'CustomerName': 'Running Contract, 13833', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '12/28/2023 1:22:35 PM', 'ToDateTime': '12/29/2023 1:22:35 PM', 'DayRentValue': 0.0, 'Documents': None}]"
3132fa93-9175-4e91-90d7-e5938574fe3a,e21428,MERCEDES,A45,21428,2021,2047,22154,MERCEDES A220,
751e783c-1316-41de-9e28-9c1a86eda8cd,v42948,MERCEDES,A45,42948,2019,2047,22162,MERCEDES A220,
49b9c8bf-5ce1-414b-8a45-e348ff645a38,j81593,MERCEDES,A45,81593,2020,2047,73140,MERCEDES A220,"[{'ReservationKey': 0, 'CarKey': 73140, 'CustomerName': 'Running Contract, 16280', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 12:07:05 PM', 'ToDateTime': '8/3/2024 12:07:05 PM', 'DayRentValue': 0.0, 'Documents': None}]"
dcc1cdb7-8c9b-4280-a65a-590689414dbe,y37405,MERCEDES,C63 AMG,37405,2021,2047,68901,MERCEDES C300,"[{'ReservationKey': 0, 'CarKey': 68901, 'CustomerName': 'Running Contract, 15810', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 10:35:49 PM', 'ToDateTime': '7/24/2024 10:35:49 PM', 'DayRentValue': 0.0, 'Documents': None}]"
144450ec-b0cf-443e-a30d-9d95e8fafcb2,y39980,MERCEDES,C300-4DOOR,39980,2021,2047,83401,MERCEDES C300,
192a48d6-5642-4481-b36c-2d7ab3af0891,d87994,MERCEDES,C300-4DOOR,87994,2020,2047,73142,MERCEDES C300,
647f2b59-1a0c-405a-b8f5-9108384fff05,y31764,MERCEDES,CLA45 AMG,31764,2022,2047,68917,MERCEDES CLA,
2c3a8553-ae21-4423-a67f-35bd263ab6c2,v45319,MERCEDES,CLA 250,45319,2020,2047,22160,MERCEDES CLA,
58cca13c-9c25-43a2-b914-980eaeeaa56b,d56792,MERCEDES,CLA45 AMG,56792,2022,2047,78262,MERCEDES CLA 250,
063d02c4-3810-4e40-b14b-25ecd8a2a44c,p43074,MERCEDES,CLA45 AMG,43074,2022,2047,78210,MERCEDES CLA250,"[{'ReservationKey': 0, 'CarKey': 78210, 'CustomerName': 'Running Contract, 15872', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 7:40:03 PM', 'ToDateTime': '8/4/2024 7:40:03 PM', 'DayRentValue': 0.0, 'Documents': None}]"
ef7b9105-8389-40d1-bc7f-a8be20018dc7,z57015,MERCEDES,E350,57015,2021,2047,87547,MERCEDES E300,
775f8d10-1381-45ba-a68e-430a6509e5c3,p11300,MERCEDES,G63,11300,2020,2047,22097,MERCEDES G63,"[{'ReservationKey': 0, 'CarKey': 22097, 'CustomerName': 'Running Contract, 16306', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 12:10:00 PM', 'ToDateTime': '8/4/2024 12:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
4f1ec2b0-55ba-43c7-8e65-48634bf363c1,y18964,MERCEDES,G63,18964,2023,2047,98451,MERCEDES G63,"[{'ReservationKey': 0, 'CarKey': 98451, 'CustomerName': 'Running Contract, 15522', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/15/2024 2:01:12 PM', 'ToDateTime': '7/26/2024 2:01:12 PM', 'DayRentValue': 0.0, 'Documents': None}]"
8e945ce7-feb8-45eb-8543-a9c3e2d32136,q38600,MERCEDES,G63,38600,2020,2047,69308,MERCEDES G63,
c6c51608-2bb9-46e1-bbab-618097065358,s68500,MERCEDES,G63,68500,2021,2047,22157,MERCEDES G63,"[{'ReservationKey': 0, 'CarKey': 22157, 'CustomerName': 'Running Contract, 16291', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 3:54:00 PM', 'ToDateTime': '8/2/2024 3:54:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
1f0cd6b5-2876-46a3-a8b1-dc8db8055096,s79500,MERCEDES,G-63,79500,2019,2047,22107,MERCEDES G63,"[{'ReservationKey': 0, 'CarKey': 22107, 'CustomerName': 'Running Contract, 15873', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:51:00 PM', 'ToDateTime': '8/2/2024 8:51:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
5425e80f-15ad-4e5f-b952-dc0059e9abba,z18463,MERCEDES,GLB-250,18463,2020,2047,83403,MERCEDES GLB250,"[{'ReservationKey': 0, 'CarKey': 83403, 'CustomerName': 'Running Contract, 16300', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 7:58:06 PM', 'ToDateTime': '8/5/2024 7:58:06 PM', 'DayRentValue': 0.0, 'Documents': None}]"
94f870b4-3aca-4fb5-a1b6-d706a790c9e5,p43682,MERCEDES,GLC-300,43682,2020,2047,78211,MERCEDES GLC,"[{'ReservationKey': 0, 'CarKey': 78211, 'CustomerName': 'Running Contract, 14647', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/10/2024 10:55:28 PM', 'ToDateTime': '3/25/2024 10:55:28 PM', 'DayRentValue': 0.0, 'Documents': None}]"
6435fc9e-ce92-489d-8eab-3a39c307c5cc,p47694,MERCEDES,GLC-43 coupe,47694,2022,2047,68304,MERCEDES GLC43,
551567c8-faaa-4b42-a792-bc901efa7784,e25723,MERCEDES,GLE53,25723,2020,2047,22150,MERCEDES GLE53,
35762a9e-b919-48d1-982d-688e51d7f205,v41968,MERCEDES,GLE53,41968,2020,2047,22163,MERCEDES GLE53,
8a6131d2-d2d1-4a73-b8d6-55df55e5e69f,x42378,MERCEDES,GLE53,42378,2021,2047,68297,MERCEDES GLE53,
27c630e6-04ca-4a00-8eac-5f3f10e70be7,w36218,MERCEDES,METRIS-VIANO,36218,2018,2047,22035,MERCEDES METRIS,
18cf4754-3bda-469f-9904-3c8da4367088,o44385,METRIS,VAN CUSTOMIZE,44385,2017,2047,22080,MERCEDES METRIS,
0fd7d559-8256-4b60-8f76-727e537410ba,j83500,MERCEDES,S500,83500,2023,2047,87546,MERCEDES S500,
c505d908-59a6-4366-86a8-381b0ff93fd6,e31691,MERCEDES,S560,31691,2018,2047,22051,MERCEDES S560,
86a66222-d7ee-4e90-96d8-e23111f1a88f,o86300,MERCEDES S580,2022,86300,2022,2047,22148,MERCEDES S580,
773b7c1a-4a3f-426c-8856-58e0f0cd64d5,r16235,MERCEDES,S560,16235,2018,2047,22026,MERCEDESS450,
0b56d229-b6f4-4915-8cb1-624abf55adc6,y50570,NISSAN,PATROL ARMADA,50570,2020,2047,69311,NISSAN ARMADA,
e83daeab-e9a9-4cef-9231-7cb6fcdc220e,j72350,NISSAN,PATHFINDER,72350,2020,2047,73138,NISSAN PATHFINDER,
a867dc11-b256-4c8f-8152-8337251ebece,n6354,NISSAN,PATROL,6354,2022,2047,93653,NISSAN PATROL,
7e80e247-148d-4435-a765-94e1a15db583,q21411,NISSAN,PATROL PLATINUIM,21411,2018,2047,22130,NISSAN PATROL PLAT,
5defb0e3-4d44-4a50-93fe-781d056a242c,x85307,PORSCHE,911,85307,2020,2047,22144,PORSCHE 911 CARRERA,
52c8b024-4495-4987-946e-e7f79b9e9109,x89705,PORSCHE,CAYENNE,89705,2021,2047,22142,PORSCHE CAYENNE,"[{'ReservationKey': 0, 'CarKey': 22142, 'CustomerName': 'Running Contract, 16305', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 10:37:37 AM', 'ToDateTime': '8/3/2024 10:37:37 AM', 'DayRentValue': 0.0, 'Documents': None}]"
f1f44a6e-2280-4881-8752-7b2c0f9c835b,y52558,PORSCHE,PANAMERA,52558,2020,2047,69440,PORSCHE PANAMERA,
66566173-da35-444c-9702-e8b7ea0fb0e0,j72311,RANGE ROVER,EVOQUE,72311,2020,2047,73137,RANGE ROVER EVOUQUE,
50ba9a21-eda1-4822-88f8-65d63fd0f942,f98614,RANGE ROVER,VELAR-NEW,98614,2020,2047,68296,RANGE ROVER VELAR,"[{'ReservationKey': 0, 'CarKey': 68296, 'CustomerName': 'Running Contract, 15857', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 8:56:48 PM', 'ToDateTime': '8/2/2024 8:56:48 PM', 'DayRentValue': 0.0, 'Documents': None}]"
d7af7e37-1642-49c3-b1da-ce7c4966a61e,m70583,RANGE ROVER,VELAR,70583,2018,2047,22006,RANGE ROVER VELAR 2018,"[{'ReservationKey': 0, 'CarKey': 22006, 'CustomerName': 'Running Contract, 16297', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 6:03:00 PM', 'ToDateTime': '8/5/2024 6:03:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
a7a4c999-677d-4ee5-93dd-85db42bfc70f,r96800,ROLLS ROYCE,GHOST,96800,2019,2047,112681,ROLLS ROYCE GHOST,
c2a322f4-e295-4a27-b7e2-fa29ca4e9934,r39800,ROLLS ROYCE,GHOST W-STAR,39800,2018,2047,22036,ROLLS ROYCE GHOST ,"[{'ReservationKey': 0, 'CarKey': 22036, 'CustomerName': 'Running Contract, 14674', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/26/2024 11:23:30 AM', 'ToDateTime': '2/26/2024 11:23:30 AM', 'DayRentValue': 0.0, 'Documents': None}]"
