deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,MAZDA,[],[],,,True,[],,,CX5,MAZDA,,,,CX5,,63561f1bc21a9b89df2c536e5bb18140,,,,MAZDA CX5
False,MCLAREN,[],[],,,True,[],,,720 S,MCLAREN,,,,720 S,,a66d6e2260a5e31c317511062a1fdd33,,,,MCLAREN 720 S
False,MCLAREN,[],[],,,True,[],,,GT,MCLAREN,,,,GT,,5df1abe3a616ad0af621890f56b7efc3,,,,MCLAREN GT
False,MERCEDES,[],[],,,True,[],,,200 CLA,MERCEDES,,,,200 CLA,,7f6bd0ef9b309a9cf20349fa5676ffc9,,,,MERCEDES 200 CLA
False,MERCEDES,[],[],,,True,[],,,AMG GT,MERCEDES,,,,AMG GT,,8e1803478ad8097a0c3d937598d2e746,,,,MERCEDES AMG GT
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,18441dbc054065290dac25d384d8edde,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,E350,MERCEDES,,,,E350,,ee58892615828291a29f5ffe0c739396,,,,MERCEDES E350
False,MERCEDES,[],[],,,True,[],,,E400,MERCEDES,,,,E400,,6261f62391a4d38ff11891c713a3b7d4,,,,MERCEDES E400
False,MERCEDES,[],[],,,True,[],,,G 800,MERCEDES,,,,G 800,,7799aefcbc1eaaebf6f1a7324e56644a,,,,MERCEDES G 800
False,MERCEDES,[],[],,,True,[],,,G63,MERCEDES,,,,G63,,9cb5734174a469748febc0f6f7b62d09,,,,MERCEDES G63
False,MERCEDES,[],[],,,True,[],,,GLE 53,MERCEDES,,,,GLE 53,,192b246021c34fd09c3d07b1e8af16c3,,,,MERCEDES GLE 53
False,MERCEDES,[],[],,,True,[],,,GLS 600,MERCEDES,,,,GLS 600,,73f5be64ef85580518329b45078b5ec4,,,,MERCEDES GLS 600
False,MERCEDES,[],[],,,True,[],,,S400,MERCEDES,,,,S400,,9f63ebcc14b9008a84ca5acc5670b59d,,,,MERCEDES S400
False,MERCEDES,[],[],,,True,[],,,S500,MERCEDES,,,,S500,,81b747d84f90ef739678e912bb1b6117,,,,MERCEDES S500
False,NISSAN,[],[],,,True,[],,,PATROL,NISSAN,,,,PATROL,,4824d9f0c8c63c86abdcc085a3853534,,,,NISSAN PATROL
False,PORSCHE,[],[],,,True,[],,,CAYENNE,PORSCHE,,,,CAYENNE,,7d8d585cd00a211919209e5a8efd54bf,,,,PORSCHE CAYENNE
False,PORSCHE,[],[],,,True,[],,,MACAN,PORSCHE,,,,MACAN,,7eccf9a59601f4b8330888ea9bae42b5,,,,PORSCHE MACAN
False,RANGE ROVER,[],[],,,True,[],,,Evoque,RANGE ROVER,,,,Evoque,,3e356cfba2d7cbfbe6d7251e22fcc449,,,,RANGE ROVER Evoque
False,RANGE ROVER,[],[],,,True,[],,,HSE,RANGE ROVER,,,,HSE,,d697d5a77d4d18624279bfbbe91ae4db,,,,RANGE ROVER HSE
False,RANGE ROVER,[],[],,,True,[],,,SPORT,RANGE ROVER,,,,SPORT,,6c829d78c236ea33aefb570f3f24236c,,,,RANGE ROVER SPORT
False,RANGE ROVER,[],[],,,True,[],,,SVR,RANGE ROVER,,,,SVR,,fd3f4475d537ef13b89b73d498a7c61a,,,,RANGE ROVER SVR
False,RANGE ROVER,[],[],,,True,[],,,VELAR,RANGE ROVER,,,,VELAR,,ae9ccc3b5d0d9e15fb4fc4d2ba52060d,,,,RANGE ROVER VELAR
False,RANGE ROVER,[],[],,,True,[],,,VOGUE,RANGE ROVER,,,,VOGUE,,b3314931e6193398a2c3ae2b68eeb013,,,,RANGE ROVER VOGUE
False,ROLLS ROYCE,[],[],,,True,[],,,CULLINAN,ROLLS ROYCE,,,,CULLINAN,,e54d4c3af0f04d7c13d3c544341cf1f7,,,,ROLLS ROYCE CULLINAN
False,ROLLS ROYCE,[],[],,,True,[],,,DAWN,ROLLS ROYCE,,,,DAWN,,fa947d75a39b203983fd0159f61b2498,,,,ROLLS ROYCE DAWN
False,ROLLS ROYCE,[],[],,,True,[],,,GHOST,ROLLS ROYCE,,,,GHOST,,5b5f24333f3731debbcfd3e8a6ef5282,,,,ROLLS ROYCE GHOST
False,ROLLS ROYCE,[],[],,,True,[],,,WRAITH,ROLLS ROYCE,,,,WRAITH,,218002f90e3c1f5760704e558c00ee60,,,,ROLLS ROYCE WRAITH
False,SUZUKI,[],[],,,True,[],,,JIMNY,SUZUKI,,,,JIMNY,,6a98e202484d63a706fb450fee1e6d8d,,,,SUZUKI JIMNY
False,TOYOTA,[],[],,,True,[],,,YARIS,TOYOTA,,,,YARIS,,6fd5f30181d6d5e84c2ba585c8366dbb,,,,TOYOTA YARIS
