since,offer_id,status,type,user_id,stage,status_title,until,tag_id
1722154800,,on_hold,on_hold,,,rental.status.on_hold.title,1722673200,ff1b3e7b-241b-424e-8c62-6a03d48c1e47
1722156600,,on_hold,on_hold,,,rental.status.on_hold.title,1722415800,141adfc5-b821-4edd-92db-efe3179b8245
1722415800,,on_hold,on_hold,,,rental.status.on_hold.title,1722499200,3d8d6de3-a323-4f12-98ba-061bbbde7760
1722239400,,on_hold,on_hold,,,rental.status.on_hold.title,1722412200,a6439997-e627-4a86-979e-369efba92712
1722412800,,on_hold,on_hold,,,rental.status.on_hold.title,1722499200,03bc40c8-19e3-4e24-86dd-b19d3247440e
1722499200,,on_hold,on_hold,,,rental.status.on_hold.title,1722577872,00c278c9-cae0-43ae-9955-892d37e2dab9
1721982900,,on_hold,on_hold,,,rental.status.on_hold.title,1722069300,78ae80e5-2638-43b3-a6c8-c5bf7c3f67dc
1722428400,,on_hold,on_hold,,,rental.status.on_hold.title,1722514800,ca5206ae-2222-4584-a4e2-8e50ad3285f8
1721907070,,on_hold,on_hold,,,rental.status.on_hold.title,1721993470,0686c3f8-0f88-45f3-92e2-d9a196e1bc3a
1722404911,,on_hold,on_hold,,,rental.status.on_hold.title,1722491311,ed2f3db5-5440-41a0-b98b-bec158b7c616
1722096000,,on_hold,on_hold,,,rental.status.on_hold.title,1722182400,d44fef6c-972a-49a7-9904-17652977fc64
1722514200,,on_hold,on_hold,,,rental.status.on_hold.title,1722600600,dba19817-facd-4ce7-a074-20af4f0d0514
1721910600,,on_hold,on_hold,,,rental.status.on_hold.title,1721997000,2d81e438-695e-4383-befb-27b4f073ed11
1721883959,,on_hold,on_hold,,,rental.status.on_hold.title,1722488759,3ea287f7-cb5e-4448-aafb-a56483016fd4
1722518100,,on_hold,on_hold,,,rental.status.on_hold.title,1722604500,e7eaffdd-5195-4479-ada5-43781c94316a
1721910000,,on_hold,on_hold,,,rental.status.on_hold.title,1721996400,15cee056-ea18-49f1-be0a-82ab19037b28
1722172466,,on_hold,on_hold,,,rental.status.on_hold.title,1722258866,470a5ae3-d5a8-4698-8a50-f5d63177f5fc
1722439800,,on_hold,on_hold,,,rental.status.on_hold.title,1722526200,c88b725e-cf6a-4bf7-89a3-377f76a39405
1722016800,,on_hold,on_hold,,,rental.status.on_hold.title,1722103200,e4a65c72-3e34-474c-bd99-39f426f88d93
1722327300,,on_hold,on_hold,,,rental.status.on_hold.title,1722413700,c76e83f1-e147-4609-8545-ef84cb92cd8f
1722423300,,on_hold,on_hold,,,rental.status.on_hold.title,1722509700,e9f8820e-8049-41f2-b8aa-e1373a0616b8
1722509700,,on_hold,on_hold,,,rental.status.on_hold.title,1723186800,6ae41166-f128-4102-9584-c1f7a4002c51
1721833062,,on_hold,on_hold,,,rental.status.on_hold.title,1722005862,deaffc30-4ac8-4928-acfa-1db3e2676e15
1722282900,,on_hold,on_hold,,,rental.status.on_hold.title,1722369300,5c23404b-6039-4c7f-9e22-7b6321d72f93
1722249600,,on_hold,on_hold,,,rental.status.on_hold.title,1722508800,7552b35f-9012-4533-b748-9781473f8b79
1722226500,,on_hold,on_hold,,,rental.status.on_hold.title,1723263300,e93aba59-2c8d-4737-85e3-ba7162ca51f2
1722177000,,on_hold,on_hold,,,rental.status.on_hold.title,1722263400,4d8a5d0b-2406-4a59-a858-6d0901effe08
