status_title,since,booking_status,stage,status,until,type,tag_id,offer_id,user_id
rental.status.on_hold.title,1721507520,,,on_hold,1722803520,on_hold,ded5619b-a0a1-4da4-849a-9008992570b6,,
rental.status.on_hold.title,1722514440,,,on_hold,1725106440,on_hold,4f268598-5c9e-4ccf-8f29-235cfd390c1a,,
rental.status.on_hold.title,1721577660,,,on_hold,1722182460,on_hold,f981074d-7e7d-4077-8b0c-6da5d52cd538,,
rental.status.on_hold.title,1722182460,,,on_hold,1722787260,on_hold,519058a5-1806-41e4-94d7-6d28d84f6635,,
rental.status.on_hold.title,1721908740,,,on_hold,1722167940,on_hold,c70530b9-1968-41e1-857e-13c4582dc5a7,,
rental.status.on_hold.title,1722167940,,,on_hold,1722536460,on_hold,7ef7dbc4-ee34-4526-b808-5c3a1997972f,,
rental.status.on_hold.title,1722086580,,,on_hold,1722172980,on_hold,17604b94-fbdc-44d9-bd7a-f0f45c56d140,,
rental.status.on_hold.title,1721560980,,,on_hold,1721992980,on_hold,ffe4ac3c-55d8-44ae-a7d8-0b4986b92bf1,,
rental.status.on_hold.title,1721402940,,,on_hold,1723994940,on_hold,746d0b7f-fa48-4463-ac7e-0c396257dc36,,
Confirmed,1721973600,start_delayed,prereservation,confirmed,1722060000,booking,955e575e-f47d-40ae-b855-b09861599fc4,b6ba5329-862b-1686-0bb8-2fae8865ea9e,bf76a66a-aee6-4d4d-a9ae-39464dca97fe
rental.status.on_hold.title,1721669400,,,on_hold,1722015000,on_hold,704b5750-5391-47c9-ada5-d2a2187779f2,,
rental.status.on_hold.title,1722203640,,,on_hold,1722290040,on_hold,473573f9-ebbc-40e0-bef9-4c9fa0acd0ed,,
rental.status.on_hold.title,1722290040,,,on_hold,1722549240,on_hold,9a8f43e6-b0c3-4bbe-b12b-9602daad3271,,
rental.status.on_hold.title,1721826300,,,on_hold,1721999100,on_hold,0a106613-3d45-4f87-98ea-700a165878d1,,
rental.status.on_hold.title,1722376320,,,on_hold,1722462720,on_hold,9a57c679-b9ff-45a8-b121-2362199facb9,,
rental.status.on_hold.title,1722462720,,,on_hold,1722721920,on_hold,56e2a032-374d-4db6-8692-e869af68cfeb,,
rental.status.on_hold.title,1721766000,,,on_hold,1722543600,on_hold,1d98dfd6-3340-44c0-85af-8c3409342076,,
rental.status.on_hold.title,1721898840,,,on_hold,1724490840,on_hold,f26e0a4b-951e-4ace-b291-24e64e16a3df,,
rental.status.on_hold.title,1715516940,,,on_hold,1723206540,on_hold,38df23fc-c521-461c-ae5c-3e6fb923f997,,
rental.status.on_hold.title,1721499180,,,on_hold,1722622380,on_hold,a3c5d393-652f-46a3-b650-fb70175a6ce2,,
rental.status.on_hold.title,1721864760,,,on_hold,1722056400,on_hold,37618639-59ef-4ab9-90d2-6b15327b202f,,
Confirmed,1722056400,start_delayed,prereservation,confirmed,1722229200,booking,40bef8ee-34c6-429e-8be3-8f84ab92b613,a481d6a5-a790-dfa0-f378-047504e5cc91,1d784098-e871-4393-9294-bcb5883163b6
rental.status.on_hold.title,1722229200,,,on_hold,1722383160,on_hold,f124318b-4190-4bb7-9e19-003eaab59518,,
rental.status.on_hold.title,1722383160,,,on_hold,1722635280,on_hold,1ab2dca3-c86b-4b5b-bff1-b4684dd11fdf,,
rental.status.on_hold.title,1719851700,,,on_hold,1722443700,on_hold,ff361575-4764-4ff5-8599-6c18fb9a4e7f,,
