status_title,status,user_id,tag_id,booking_status,since,type,offer_id,stage,until
rental.status.on_hold.title,on_hold,,ded5619b-a0a1-4da4-849a-9008992570b6,,1721507520,on_hold,,,1722803520
rental.status.on_hold.title,on_hold,,4f268598-5c9e-4ccf-8f29-235cfd390c1a,,1722514440,on_hold,,,1725106440
rental.status.on_hold.title,on_hold,,f981074d-7e7d-4077-8b0c-6da5d52cd538,,1721577660,on_hold,,,1722182460
rental.status.on_hold.title,on_hold,,519058a5-1806-41e4-94d7-6d28d84f6635,,1722182460,on_hold,,,1722787260
rental.status.on_hold.title,on_hold,,c70530b9-1968-41e1-857e-13c4582dc5a7,,1721908740,on_hold,,,1722167940
rental.status.on_hold.title,on_hold,,7ef7dbc4-ee34-4526-b808-5c3a1997972f,,1722167940,on_hold,,,1722536460
rental.status.on_hold.title,on_hold,,697496bc-c3fb-463f-b3de-19daec0db5eb,,1722536460,on_hold,,,1722859260
rental.status.on_hold.title,on_hold,,17604b94-fbdc-44d9-bd7a-f0f45c56d140,,1722086580,on_hold,,,1722172980
rental.status.on_hold.title,on_hold,,746d0b7f-fa48-4463-ac7e-0c396257dc36,,1721402940,on_hold,,,1723994940
Confirmed,confirmed,bf76a66a-aee6-4d4d-a9ae-39464dca97fe,955e575e-f47d-40ae-b855-b09861599fc4,start_delayed,1721973600,booking,b6ba5329-862b-1686-0bb8-2fae8865ea9e,prereservation,1722060000
rental.status.on_hold.title,on_hold,,0a106613-3d45-4f87-98ea-700a165878d1,,1721826300,on_hold,,,1721999100
rental.status.on_hold.title,on_hold,,9a57c679-b9ff-45a8-b121-2362199facb9,,1722376320,on_hold,,,1722462720
rental.status.on_hold.title,on_hold,,56e2a032-374d-4db6-8692-e869af68cfeb,,1722462720,on_hold,,,1722721920
rental.status.on_hold.title,on_hold,,704b5750-5391-47c9-ada5-d2a2187779f2,,1721669400,on_hold,,,1722015000
