since,offer_id,status,type,user_id,stage,status_title,until,tag_id
1721467527,,on_hold,on_hold,,,rental.status.on_hold.title,1724059527,dbc64396-8182-4cbf-8f3a-a467c9125fd3
1722095100,,on_hold,on_hold,,,rental.status.on_hold.title,1722181500,d605be91-6121-4069-9eaa-dfb7f7ec74ca
1721664600,,on_hold,on_hold,,,rental.status.on_hold.title,1722269400,351d31bd-daef-4839-af8c-e28fdbc87c9f
1722420000,,on_hold,on_hold,,,rental.status.on_hold.title,1722765600,44312a6d-1266-48ad-9351-d8dbf3e8029f
1720429320,,on_hold,on_hold,,,rental.status.on_hold.title,1723021320,5c4f4b95-0415-4781-a687-11b9e5245b87
1721653200,,on_hold,on_hold,,,rental.status.on_hold.title,1722258000,e14b1787-ecc4-43ca-b792-ffbebca46ec3
1722071940,,on_hold,on_hold,,,rental.status.on_hold.title,1722676740,b86080b7-e7ab-4b02-b1a0-c927977d5dd5
1722513152,,on_hold,on_hold,,,rental.status.on_hold.title,1723722752,8658cbe9-8281-4db2-b454-f649bd5319de
1721895348,,on_hold,on_hold,,,rental.status.on_hold.title,1721981748,3be1e3be-3064-4137-829f-64b0938593fd
1722193260,,on_hold,on_hold,,,rental.status.on_hold.title,1722366060,e655b9af-16a5-4734-bb2d-88eda61aa1a7
1722430076,,on_hold,on_hold,,,rental.status.on_hold.title,1722516476,494d9bf0-e04b-4695-9f33-0e1c1eff8a1d
1720799087,,on_hold,on_hold,,,rental.status.on_hold.title,1723391087,ec62bebc-b040-49b0-9185-6162d0dd4287
1722242760,,on_hold,on_hold,,,rental.status.on_hold.title,1724748360,97d9cdca-7352-4ab5-ade9-eee1e365dc6d
