first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,b270a7a59aaab9a4ee98365814ce800a,[],[],,,,FORD,True,False,,MUSTANG GT,MUSTANG GT,,FORD MUSTANG GT,,,,FORD,,[]
,,caa94db89937c88dd4227c720cc83d9d,[],[],,,,FORD,True,False,,MUSTANG GT,MUSTANG GT,,FORD MUSTANG GT,,,,FORD,,[]
,,55e10c8f84c32ee3977a1973db0fc668,[],[],,,,FORD,True,False,,TERRITORY,TERRITORY,,FORD TERRITORY,,,,FORD,,[]
,,ca37e37e63e75a7a9a8d2c15112cf1fc,[],[],,,,FORD,True,False,,TERRITORY,TERRITORY,,FORD TERRITORY,,,,FORD,,[]
,,a5e1e9d944733db25e7f03ad530050bb,[],[],,,,Ford,True,False,,Mustang,Mustang,,Ford Mustang,,,,Ford,,[]
,,4747178b8cfd581b4d6bf7f7aaae90a8,[],[],,,,GMC,True,False,,ACADIA,ACADIA,,GMC ACADIA,,,,GMC,,[]
,,5bcbc10afbf46ef271acbba6e759c446,[],[],,,,GMC,True,False,,ACADIA,ACADIA,,GMC ACADIA,,,,GMC,,[]
,,0b50d067ac8ca2576da7a84d70ab0909,[],[],,,,GMC,True,False,,YUKON,YUKON,,GMC YUKON,,,,GMC,,[]
,,e67a0b7de80a1192c06266886b5abb13,[],[],,,,GMC,True,False,,YUKON,YUKON,,GMC YUKON,,,,GMC,,[]
,,121815bb710822991518e6b349a49cbb,[],[],,,,GMC,True,False,,YUKON DENALI,YUKON DENALI,,GMC YUKON DENALI,,,,GMC,,[]
,,21659bb159fd9a0e043e635f4c6767a8,[],[],,,,GMC,True,False,,YUKON DENALI,YUKON DENALI,,GMC YUKON DENALI,,,,GMC,,[]
,,d0d2ba14aff83cc746e3b9855b1d8ea8,[],[],,,,INFINITY,True,False,,Q50,Q50,,INFINITY Q50,,,,INFINITY,,[]
,,d84e90b5c3e5b4c8fde8dfbe0fb1b336,[],[],,,,INFINITY,True,False,,Q50,Q50,,INFINITY Q50,,,,INFINITY,,[]
,,345fe5c2151398b3a9889b6d0c6e3615,[],[],,,,JEEP,True,False,,GRAND,GRAND,,JEEP GRAND,,,,JEEP,,[]
,,ef5bb264fb20f2a5de53e42f8c60b777,[],[],,,,JEEP,True,False,,GRAND,GRAND,,JEEP GRAND,,,,JEEP,,[]
,,f4fb6d87648032ebd63f85cd39d7f735,[],[],,,,JEEP,True,False,,WRANGLER,WRANGLER,,JEEP WRANGLER,,,,JEEP,,[]
,,f682f895fa1890ab54bd5bd3cc4d8382,[],[],,,,JEEP,True,False,,WRANGLER,WRANGLER,,JEEP WRANGLER,,,,JEEP,,[]
,,c7e4fbc94671c6ca124411af0825cb69,[],[],,,,Jeep,True,False,,Wrangler,Wrangler,,Jeep Wrangler,,,,Jeep,,[]
,,fb24aa2b39eef8e0fc56373d77395aa7,[],[],,,,Jeep,True,False,,Wrangler,Wrangler,,Jeep Wrangler,,,,Jeep,,[]
,,30f7c9f93a8a303299ccade0d7b7027d,[],[],,,,KIA,True,False,,CERATO,CERATO,,KIA CERATO,,,,KIA,,[]
,,b8c67637cb589309213f9e1038488310,[],[],,,,KIA,True,False,,CERATO,CERATO,,KIA CERATO,,,,KIA,,[]
,,7b520281b8a6b503ae64db102833a0d6,[],[],,,,KIA,True,False,,SPORTAGE,SPORTAGE,,KIA SPORTAGE,,,,KIA,,[]
,,973ace733491f92ee1a9097ef6880d7e,[],[],,,,KIA,True,False,,SPORTAGE,SPORTAGE,,KIA SPORTAGE,,,,KIA,,[]
,,964453d00ed0a143cd5d5e811003046c,[],[],,,,LAMBORGHINI,True,False,,URUS,URUS,,LAMBORGHINI URUS,,,,LAMBORGHINI,,[]
,,e65f36f480a18185f213c19671be3950,[],[],,,,LAMBORGHINI,True,False,,URUS,URUS,,LAMBORGHINI URUS,,,,LAMBORGHINI,,[]
,,225175af97b91d33b8b7cc240562b19c,[],[],,,,LAND ROVER,True,False,,DEFENDER,DEFENDER,,LAND ROVER DEFENDER,,,,LAND ROVER,,[]
,,9a4e63a1fd1fa90017bb722191014558,[],[],,,,LAND ROVER,True,False,,DEFENDER,DEFENDER,,LAND ROVER DEFENDER,,,,LAND ROVER,,[]
,,ad50fa2dd4cf99e928931e2cd1482a6f,[],[],,,,LAND ROVER,True,False,,DEFENDER,DEFENDER,,LAND ROVER DEFENDER,,,,LAND ROVER,,[]
,,7ef83693f7d88aeebeb0590489768af9,[],[],,,,LAND ROVER,True,False,,DISCOVERY,DISCOVERY,,LAND ROVER DISCOVERY,,,,LAND ROVER,,[]
,,5461c867e2e4d2a2588a28f6ab819537,[],[],,,,LOTUS,True,False,,EVORA,EVORA,,LOTUS EVORA,,,,LOTUS,,[]
,,e734bacb17e0ca5a771e70a029197344,[],[],,,,MERCEDES,True,False,,A220,A220,,MERCEDES A220,,,,MERCEDES,,[]
,,e04525c98ef096d2be0ee3ad07cca434,[],[],,,,MERCEDES,True,False,,C200,C200,,MERCEDES C200,,,,MERCEDES,,[]
,,8dfab3821f7091d9752970ad91b02844,[],[],,,,MERCEDES,True,False,,C300,C300,,MERCEDES C300,,,,MERCEDES,,[]
,,aa3a7726ee47b9453602d1ce4b14cfe0,[],[],,,,MERCEDES,True,False,,C300,C300,,MERCEDES C300,,,,MERCEDES,,[]
,,b7cd63980805738f3f015c0c35550a23,[],[],,,,MERCEDES,True,False,,C300,C300,,MERCEDES C300,,,,MERCEDES,,[]
,,d5533afb33395ead32e5c9c687b55917,[],[],,,,MERCEDES,True,False,,C300,C300,,MERCEDES C300,,,,MERCEDES,,[]
,,dbd688be6583be1459d7cf492e22c722,[],[],,,,MERCEDES,True,False,,C300,C300,,MERCEDES C300,,,,MERCEDES,,[]
,,ed28de72a5baf94dff1cef76c7e48b66,[],[],,,,MERCEDES,True,False,,C300,C300,,MERCEDES C300,,,,MERCEDES,,[]
,,ccdfcaa55eb92559b55b950e98cbf501,[],[],,,,MERCEDES,True,False,,CLA250,CLA250,,MERCEDES CLA250,,,,MERCEDES,,[]
,,2c0a165681ec280f9f0bf0f32b18564d,[],[],,,,MERCEDES,True,False,,E200,E200,,MERCEDES E200,,,,MERCEDES,,[]
,,2d1225535be4ae1bea0c737f3f8b2717,[],[],,,,MERCEDES,True,False,,E400,E400,,MERCEDES E400,,,,MERCEDES,,[]
,,55b13c663e841e2559334fb0122198b9,[],[],,,,MERCEDES,True,False,,G63,G63,,MERCEDES G63,,,,MERCEDES,,[]
,,eb136448c174d75cb748191ec5ed5efe,[],[],,,,MERCEDES,True,False,,G63,G63,,MERCEDES G63,,,,MERCEDES,,[]
,,feb7c5e7162ba0e6cfee3df4ba319fd1,[],[],,,,MERCEDES,True,False,,G63,G63,,MERCEDES G63,,,,MERCEDES,,[]
,,22b63948aa561f06272cb3b939ae5dc4,[],[],,,,MERCEDES,True,False,,GLC300,GLC300,,MERCEDES GLC300,,,,MERCEDES,,[]
,,6dfb2ad5a0ab133aeb01b4968f09c473,[],[],,,,MERCEDES,True,False,,GLC300,GLC300,,MERCEDES GLC300,,,,MERCEDES,,[]
