Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 93437, 'CustomerName': 'Running Contract, 18567', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/20/2023 1:00:00 PM', 'ToDateTime': '4/21/2023 1:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai Festival City,4,2023,68489,2277,-1,0.0,630.0,4,2,00971566299999,X CAR RENTAL,2,5,2400.0,93437,25,Nissan Patrol
"[{'ReservationKey': 0, 'CarKey': 141399, 'CustomerName': 'Running Contract, 25337', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/3/2024 7:51:12 PM', 'ToDateTime': '7/4/2024 7:51:12 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai Festival City,4,2024,14161,2277,-1,0.0,630.0,4,2,00971566299999,X CAR RENTAL,2,5,2400.0,141399,1,BMW I3
"[{'ReservationKey': 0, 'CarKey': 104098, 'CustomerName': 'Running Contract, 22825', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/31/2024 12:40:00 PM', 'ToDateTime': '3/1/2024 12:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai Festival City,4,2024,39698,2277,-1,0.0,630.0,4,2,00971566299999,X CAR RENTAL,2,5,2400.0,104098,5430,CITROEN SPACETOURER
"[{'ReservationKey': 0, 'CarKey': 20651, 'CustomerName': 'Running Contract, 17980', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/25/2023 1:22:47 PM', 'ToDateTime': '2/26/2023 1:22:47 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai Festival City,4,2019,64603,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20651,140251,SUZUKI SWIFT
,100.0,,Dubai,Dubai Festival City,4,2019,64602,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20649,202000,SUZUKI CIAZ
,100.0,,Dubai,Dubai Festival City,4,2021,82890,2277,-1,0.0,630.0,4,2,00971566299999,X CAR RENTAL,2,5,2400.0,119924,93880,MERCEDES S500
,100.0,,Dubai,Dubai Festival City,4,2013,89905,2277,-1,0.0,630.0,4,2,00971566299999,X CAR RENTAL,2,5,2400.0,115771,0,TOYOTA YARIS
"[{'ReservationKey': 0, 'CarKey': 20424, 'CustomerName': 'Running Contract, 24256', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/30/2024 8:25:00 PM', 'ToDateTime': '7/12/2024 8:25:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,Dubai,Dubai Festival City,4,2016,48867,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20424,187600,NISSAN-XTRAIL
"[{'ReservationKey': 0, 'CarKey': 20673, 'CustomerName': 'Running Contract, 24070', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/20/2024 10:23:52 PM', 'ToDateTime': '4/21/2024 10:23:52 PM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,Dubai,Dubai Festival City,4,2019,64587,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20673,160894,SUZUKI ERTIGA
,120.0,,Dubai,Dubai Festival City,4,2016,48869,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20425,212699,NISSAN-XTRAIL
,120.0,,Dubai,Dubai Festival City,4,2017,28106,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20687,146498,RENAULT- TALISMAN
,130.0,,Dubai,Dubai Festival City,4,2018,64604,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20653,178679,SUZUKI VITARA
,150.0,,Dubai,Dubai Festival City,4,2017,56351,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20683,107507,KIA CERATO
,150.0,,Dubai,Dubai Festival City,4,2016,76457,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20344,245000,AUDI - A3
,150.0,,Dubai,Dubai Festival City,4,2020,82594,2277,-1,0.0,1050.0,4,2,00971566299999,X CAR RENTAL,2,5,4500.0,99018,126396,NISSAN ROGUE
"[{'ReservationKey': 0, 'CarKey': 20525, 'CustomerName': 'Running Contract, 13694', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/26/2022 1:50:03 PM', 'ToDateTime': '3/27/2022 1:50:03 PM', 'DayRentValue': 0.0, 'Documents': None}]",150.0,,Dubai,Dubai Festival City,4,2017,82614,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20525,148951,CHEVROLET TRAILBLAZER
"[{'ReservationKey': 0, 'CarKey': 20528, 'CustomerName': 'Running Contract, 23979', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/14/2024 9:30:00 PM', 'ToDateTime': '4/15/2024 9:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",150.0,,Dubai,Dubai Festival City,4,2016,82620,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20528,213308,CHEVROLET-MALIB0
,150.0,,Dubai,Dubai Festival City,4,2016,33879,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20540,103998,FIAT 500
,150.0,,Dubai,Dubai Festival City,4,2017,10753,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20586,156660,CHEVROLET TRAIBLAZER
,150.0,,Dubai,Dubai Festival City,4,2017,10754,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20588,155891,CHEVROLET TRAIBLAZER
,150.0,,Dubai,Dubai Festival City,4,2018,49984,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20645,163300,CHEVEROLET MALIBU
,150.0,,Dubai,Dubai Festival City,4,2017,82619,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20526,126000,"CHEVROLET
TRAILBLAZER"
"[{'ReservationKey': 0, 'CarKey': 20427, 'CustomerName': 'Running Contract, 19305', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/9/2023 6:34:31 PM', 'ToDateTime': '6/10/2023 6:34:31 PM', 'DayRentValue': 0.0, 'Documents': None}]",150.0,,Dubai,Dubai Festival City,4,2016,55230,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20427,246748,NISSAN MIXIMA
,150.0,,Dubai,Dubai Festival City,4,2016,83657,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20345,209555,AUDI - A3
"[{'ReservationKey': 0, 'CarKey': 134903, 'CustomerName': 'Running Contract, 24664', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/26/2024 10:21:25 AM', 'ToDateTime': '5/27/2024 10:21:25 AM', 'DayRentValue': 0.0, 'Documents': None}]",150.0,,Dubai,Dubai Festival City,4,2024,84863,2277,-1,0.0,980.0,4,2,00971566299999,X CAR RENTAL,2,5,2500.0,134903,1832,HONDA CITY
"[{'ReservationKey': 0, 'CarKey': 134904, 'CustomerName': 'Running Contract, 24392', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/8/2024 9:20:00 PM', 'ToDateTime': '6/7/2024 9:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",150.0,,Dubai,Dubai Festival City,4,2024,87813,2277,-1,0.0,980.0,4,2,00971566299999,X CAR RENTAL,2,5,2500.0,134904,10,HONDA CITY
,200.0,,Dubai,Dubai Festival City,4,2017,26597,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20495,230256,BMW 318
"[{'ReservationKey': 0, 'CarKey': 119968, 'CustomerName': 'Running Contract, 25707', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/24/2024 6:44:59 PM', 'ToDateTime': '8/23/2024 6:44:59 PM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2024,65646,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,4500.0,119968,10391,CHEVROLET GROOVE
"[{'ReservationKey': 0, 'CarKey': 101666, 'CustomerName': 'Running Contract, 23423', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/7/2024 11:26:34 AM', 'ToDateTime': '4/6/2024 11:26:34 AM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2023,84387,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,4500.0,101666,19184,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 119971, 'CustomerName': 'Running Contract, 25619', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/19/2024 11:18:18 AM', 'ToDateTime': '7/20/2024 11:18:18 AM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2024,83818,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,4500.0,119971,11950,CHEVROLET GROOVE
"[{'ReservationKey': 0, 'CarKey': 119972, 'CustomerName': 'Running Contract, 25770', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 7:20:00 PM', 'ToDateTime': '8/26/2024 7:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",200.0,,Dubai,Dubai Festival City,4,2024,84194,2277,-1,0.0,1400.0,4,2,00971566299999,X CAR RENTAL,2,5,4500.0,119972,23684,CHEVROLET GROOVE
