DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,TOYOTA CAMRY ,-1,DUBAI ,41701,93471,DUBAI ,15524,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 93471, 'CustomerName': 'Running Contract, 15624', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/21/2024 8:01:00 PM', 'ToDateTime': '8/4/2024 8:01:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,TOYOTA CAMRY ,-1,DUBAI ,46244,93472,DUBAI ,15963,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 93472, 'CustomerName': 'Running Contract, 15511', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/16/2024 5:18:00 PM', 'ToDateTime': '7/28/2024 5:18:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,LEXUS LX 600,-1,DUBAI ,52395,93474,DUBAI ,15529,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 93474, 'CustomerName': 'Running Contract, 15815', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:00:00 AM', 'ToDateTime': '8/4/2024 10:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,RANGE ROVER VELAR,-1,DUBAI ,45431,93394,DUBAI ,35920,2760,5,0097142885205,2021,,"[{'ReservationKey': 0, 'CarKey': 93394, 'CustomerName': 'Running Contract, 15792', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 1:52:00 AM', 'ToDateTime': '8/4/2024 1:52:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,AUDI A3 ,-1,DUBAI ,47506,87633,DUBAI ,70266,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 87633, 'CustomerName': 'Running Contract, 15858', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 6:58:00 PM', 'ToDateTime': '8/5/2024 6:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,AUDI A3,-1,DUBAI ,47015,88889,DUBAI ,78099,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 88889, 'CustomerName': 'Running Contract, 15824', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:34:00 PM', 'ToDateTime': '8/3/2024 9:34:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,EXTRA,-1,DUBAI ,21232,11107,DUBAI ,EXTRA,2760,5,0097142885205,2021,,,4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,KIA PEGAS ,-1,DUBAI ,21071,116555,DUBAI ,73044,2760,5,0097142885205,2024,,"[{'ReservationKey': 0, 'CarKey': 116555, 'CustomerName': 'Running Contract, 15627', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 9:18:00 AM', 'ToDateTime': '8/5/2024 9:18:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,KIA PEGAS ,-1,DUBAI ,21058,116556,DUBAI ,73043,2760,5,0097142885205,2024,,"[{'ReservationKey': 0, 'CarKey': 116556, 'CustomerName': 'Running Contract, 15763', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 1:23:00 PM', 'ToDateTime': '8/1/2024 1:23:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,KIA PEGAS ,-1,DUBAI ,15351,116578,DUBAI ,17629,2760,5,0097142885205,2024,,"[{'ReservationKey': 0, 'CarKey': 116578, 'CustomerName': 'Running Contract, 15847', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:51:00 PM', 'ToDateTime': '8/31/2024 1:51:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
