manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
Nissan,,[],,Kicks,,,True,Kicks,,Nissan,,,,,[],,[],False,,Nissan Kicks,19d432fb8807742f49df7316db9a4448
Nissan,,[],,Kicks (old),,,True,Kicks (old),,Nissan,,,,,[],,[],False,,Nissan Kicks (old),2225d1a0a2a8a5fa3378eb5a7279953f
Nissan,,[],,Micra,,,True,Micra,,Nissan,,,,,[],,[],False,,Nissan Micra,fd7c261c0e234f0850f89b3d49665896
Nissan,,[],,Patrol,,,True,Patrol,,Nissan,,,,,[],,[],False,,Nissan Patrol,2a043d142f93b794bea5e55346b75915
Nissan,,[],,Patrol (old),,,True,Patrol (old),,Nissan,,,,,[],,[],False,,Nissan Patrol (old),d9cd96d806cbef6a78793f549453e119
Nissan,,[],,Sunny,,,True,Sunny,,Nissan,,,,,[],,[],False,,Nissan Sunny,1715e54f496e00f5e384bf02330493ae
Nissan,,[],,Sunny (unused),,,True,Sunny (unused),,Nissan,,,,,[],,[],False,,Nissan Sunny (unused),6ab3874a08c5a585cfff1ac3ab7232b3
Nissan,,[],,Sunny (unused),,,True,Sunny (unused),,Nissan,,,,,[],,[],False,,Nissan Sunny (unused),facfaf2c2e254449b8a04a62b3c5324e
Peugeot,,[],,2008,,,True,2008,,Peugeot,,,,,[],,[],False,,Peugeot 2008,b03fbe2492e2aa90dedb49c3b57f3fda
Peugeot,,[],,3008,,,True,3008,,Peugeot,,,,,[],,[],False,,Peugeot 3008,ca9fe1a377880c664c024d46e7b02865
Peugeot,,[],,3008 (old),,,True,3008 (old),,Peugeot,,,,,[],,[],False,,Peugeot 3008 (old),de77123b1ad0503a8f86308267cbad2a
