stage,until,booking_status,type,offer_id,user_id,status_title,tag_id,status,since
,1722061800,,on_hold,,,rental.status.on_hold.title,b2776a12-32d4-43a6-a9a1-b684cf6f66b7,on_hold,1719469800
,1722251580,,on_hold,,,rental.status.on_hold.title,162d2457-1112-4d50-ad16-f8146d8b4993,on_hold,1721646780
,1722856380,,on_hold,,,rental.status.on_hold.title,d79a9997-5e25-4b45-bb5c-ec05147af730,on_hold,1722251580
,1723378800,,on_hold,,,rental.status.on_hold.title,630490ff-4754-4029-baae-324ab561f122,on_hold,1720786800
,1722584400,,on_hold,,,rental.status.on_hold.title,6748db6d-57ee-451e-9f71-fcf74d6f0c26,on_hold,1719992400
,1723033800,,on_hold,,,rental.status.on_hold.title,fa672244-dd46-450a-8842-3398a920649d,on_hold,1720441800
,1722002400,,on_hold,,,rental.status.on_hold.title,bd862049-790c-4e90-a841-a3f95c0f7849,on_hold,1719410400
,1725087600,,on_hold,,,rental.status.on_hold.title,f8bcbb73-54e2-4959-b0ca-30f3079a39eb,on_hold,1722495600
,1724997600,,on_hold,,,rental.status.on_hold.title,51b40f19-2908-4177-9640-bc55af24cf62,on_hold,1722405600
prereservation,1722160800,start_delayed,booking,f0791d75-ce11-e02b-50d8-fda2904c3342,96dc71c3-c107-4644-bef6-97169a43506f,Confirmed,e437f807-4431-480c-b73c-fa227fb60b1b,confirmed,1721728800
,1722861000,,on_hold,,,rental.status.on_hold.title,3e12befc-f532-4cb6-bdae-4f4753464843,on_hold,1720269000
,1723384860,,on_hold,,,rental.status.on_hold.title,064eb5a8-0fc0-4eac-b76e-33e95dd5eee7,on_hold,1720792860
,1723384800,,on_hold,,,rental.status.on_hold.title,f2b53c31-bff7-4ced-a400-2ecd18d419a1,on_hold,1720792800
,1723716900,,on_hold,,,rental.status.on_hold.title,45e2a2be-c98f-4c13-99fc-134ea8bd3996,on_hold,1721124900
prereservation,1722319200,start_delayed,booking,93bf97e3-1e98-29be-4b4b-e5cddc3f1612,c8f76a53-8b8f-4511-89e1-95ed1fa02fe6,Confirmed,e045c623-1bdb-4c8d-9d74-785abf0e2986,confirmed,1722060000
,1724063700,,on_hold,,,rental.status.on_hold.title,ddf1b3a9-751a-4cfa-bd48-7d9efe2158a7,on_hold,1721471700
,1722674640,,on_hold,,,rental.status.on_hold.title,f62c6321-3123-40ac-8248-a6d4b1ac8644,on_hold,1722501840
,1722774900,,on_hold,,,rental.status.on_hold.title,ad530583-6cda-48d7-b5c8-2b0bf4376f6d,on_hold,1722170100
,1724692800,,on_hold,,,rental.status.on_hold.title,89938a06-b80a-445a-826a-3cd9ba59f07c,on_hold,1722100800
,1724754000,,on_hold,,,rental.status.on_hold.title,101e667c-1ea3-4082-be9f-3e43c3b2da37,on_hold,1722162000
,1725084600,,on_hold,,,rental.status.on_hold.title,1b63f2f7-11a1-4b56-921b-576d0b7530fc,on_hold,1722492600
,1723889700,,on_hold,,,rental.status.on_hold.title,958751c4-4397-4d66-86ce-8f6582f4d57e,on_hold,1721297700
,1723806180,,on_hold,,,rental.status.on_hold.title,37b435b4-f046-4e97-b48c-7cfb87fe3d59,on_hold,1721214180
,1724917265,,on_hold,,,rental.status.on_hold.title,85a05362-fbca-4563-ab23-3748dd171544,on_hold,1722325265
,1724763600,,on_hold,,,rental.status.on_hold.title,25a26514-32bf-4e5e-aa33-9738609f6b6d,on_hold,1722171600
,1723353000,,on_hold,,,rental.status.on_hold.title,9da047b4-7545-45b4-bf14-dd166c408b0b,on_hold,1720761000
,1723438800,,on_hold,,,rental.status.on_hold.title,d4e2b092-7b63-402b-b5b3-c66fa6a57825,on_hold,1722229200
prereservation,1723651200,start_delayed,booking,accbacc8-f42c-13ec-3c5c-973f5c1490aa,243865f9-3183-4263-aab6-0f82d9af476a,Confirmed,fe920285-388a-414a-b8dd-177acf86725e,confirmed,1721109600
,1722762600,,on_hold,,,rental.status.on_hold.title,acc8f159-f4ef-46fc-a938-45bf02511f3c,on_hold,1720170600
prereservation,1724738400,start_delayed,booking,7e2014c0-e5e5-9179-f310-5e2633066c62,ce18fe12-0102-4e41-a23e-4a31748ca1fa,Confirmed,d64c8801-6a7f-4b6d-ac7a-a46eb13cf19f,confirmed,1722146400
,1724259000,,on_hold,,,rental.status.on_hold.title,c5e90789-702f-4c82-a7fd-ddba54083b4f,on_hold,1721667000
,1723797300,,on_hold,,,rental.status.on_hold.title,7112d0a3-7708-4f07-aae7-1d69eeee17c0,on_hold,1721205300
prereservation,1723528800,start_delayed,booking,cc4fe7ca-ce18-2c0a-76a8-25060c78fc49,97113e38-8016-4491-b6da-c12ed623f1eb,Confirmed,2a8794aa-6e93-48b4-9f01-2fb7e3739e68,confirmed,1720936800
,1722260700,,on_hold,,,rental.status.on_hold.title,5af7a456-7e93-4ae9-b1dd-87c3adae8a61,on_hold,1719668700
,1723993800,,on_hold,,,rental.status.on_hold.title,5f0cf192-924f-436a-99b4-f6f0ecea4927,on_hold,1721401800
prereservation,1722265200,start_delayed,booking,fa6df9c5-ebe2-cedb-951a-66c4b76b20e1,9681a4b9-49be-4f99-ba88-1b0ced579467,Confirmed,c0122d27-1d26-4c3f-b258-cccedf1a2165,confirmed,1721919600
,1722270000,,on_hold,,,rental.status.on_hold.title,512cd94f-a19a-47ff-a0cb-40d3e2120b2d,on_hold,1722265200
,1722423000,,on_hold,,,rental.status.on_hold.title,07084b25-5950-4878-8d5d-8042fd70a037,on_hold,1719831000
,1723702800,,on_hold,,,rental.status.on_hold.title,d522393b-1805-4522-853b-b813e6ff2c2b,on_hold,1721110800
,1728913500,,on_hold,,,rental.status.on_hold.title,f040c2a6-ece6-4e06-acbb-82a97f77306f,on_hold,1722001500
,1723724100,,on_hold,,,rental.status.on_hold.title,6e313027-3a11-4c89-b62e-6a87140f38f3,on_hold,1721132100
,1722429300,,on_hold,,,rental.status.on_hold.title,55f4a222-b228-4292-b6df-82f219e3d4b2,on_hold,1719837300
,1722499200,,on_hold,,,rental.status.on_hold.title,580dd428-8e62-4554-817f-cdef69b4f199,on_hold,1721894400
,1722695400,,on_hold,,,rental.status.on_hold.title,4648fac7-d24d-455b-bb7e-2bfd2310da1e,on_hold,1720103400
,1723793100,,on_hold,,,rental.status.on_hold.title,5267d1d6-ff37-48c4-98a4-4dd988b67305,on_hold,1721201100
,1724310300,,on_hold,,,rental.status.on_hold.title,857c2334-48bd-4430-baa5-1860753813b2,on_hold,1721718300
,1722861000,,on_hold,,,rental.status.on_hold.title,19e9add4-159c-4bd4-8015-e103f407d604,on_hold,1720269000
,1722576300,,on_hold,,,rental.status.on_hold.title,4892d8df-a0d0-4847-9928-3ff8aa5e292a,on_hold,1722317100
,1722685800,,on_hold,,,rental.status.on_hold.title,7fedbdb6-fccb-470a-9351-51dd0baba5a2,on_hold,1720093800
,1722239400,,on_hold,,,rental.status.on_hold.title,75afc584-5800-42c7-a068-8a8349c3b0a2,on_hold,1719647400
,1724943540,,on_hold,,,rental.status.on_hold.title,011a1645-76ea-4255-b50c-a961164baade,on_hold,1722351540
,1722356100,,on_hold,,,rental.status.on_hold.title,2b592ce5-3806-4c38-9145-f607ed17273a,on_hold,1721751300
,1721977800,,on_hold,,,rental.status.on_hold.title,578e7d4b-809c-4100-85a4-e4533ed04035,on_hold,1721373000
,1722676800,,on_hold,,,rental.status.on_hold.title,6f343a47-0b10-428c-b3e0-88a66864594a,on_hold,1722072000
,1724483700,,on_hold,,,rental.status.on_hold.title,b4ec681e-8687-461a-81e5-00b3567c7b7e,on_hold,1721891700
prereservation,1721995200,start_delayed,booking,278d06f6-4bbf-0147-ee46-9e48dcbd1f93,267f49ab-fae0-4f6c-867b-66b7775c065e,Confirmed,4e58c5ec-c39d-43fa-ba0c-8dc0797194fc,confirmed,1721736000
,1723985580,,on_hold,,,rental.status.on_hold.title,dd342755-6df9-477a-aa49-2a21e22b3509,on_hold,1721393580
,1722089400,,on_hold,,,rental.status.on_hold.title,22b7bdac-d55a-415a-9049-ec0756c3c431,on_hold,1721484600
prereservation,1724652000,start_delayed,booking,feefe541-caee-ec6e-199f-b634b5237fc5,d608ce36-29e8-4677-934c-fe08a1e71bb5,Confirmed,41024d3b-4922-48e2-9931-7207b9203cb2,confirmed,1720764000
