code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
6f4bc7a0d596e482637140aa950ed61a,MITSUBISHI,"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6f4bc7a0d596e482637140aa950ed61a_FuelTankVolume'}]",,,,,MITSUBISHI XPANDER,,XPANDER,,False,XPANDER,,,,True,,[],[],,MITSUBISHI
a08b49228145abb53c9b1021db14a6a4,NISSAN,[],,,,,NISSAN ALTIMA,,ALTIMA,,False,ALTIMA,,,,True,,[],[],,NISSAN
cec860fcc1c9cc4804d49045ab600ddd,NISSAN,[],,,,,NISSAN ALTIMA (old),,ALTIMA (old),,False,ALTIMA (old),,,,True,,[],[],,NISSAN
1ed9a48e36b8608499189d1e053660f2,NISSAN,[],,,,,NISSAN ALTIMA 2.5L,,ALTIMA 2.5L,,False,ALTIMA 2.5L,,,,True,,[],[],,NISSAN
403c61975d3859705831866d3a2a3b38,NISSAN,[],,,,,NISSAN KICKS,,KICKS,,False,KICKS,,,,True,,[],[],,NISSAN
520b2a9ef847d30967a3c3e9d22a1a23,NISSAN,[],,,,,NISSAN KICKS SV,,KICKS SV,,False,KICKS SV,,,,True,,[],[],,NISSAN
8c34ad8687a9af309fec73c2229cfc9f,NISSAN,[],,,,,NISSAN KICKS SV (old),,KICKS SV (old),,False,KICKS SV (old),,,,True,,[],[],,NISSAN
9542aee84cd617a5e11435c62fdfff06,NISSAN,[],,,,,NISSAN KICKS SV (old),,KICKS SV (old),,False,KICKS SV (old),,,,True,,[],[],,NISSAN
1e55ebb06b36ccd86d144c55e7e368fb,NISSAN,[],,,,,NISSAN SUNNY,,SUNNY,,False,SUNNY,,,,True,,[],[],,NISSAN
d1b6d956dcdad1173d92c0116c94f92b,NISSAN,[],,,,,NISSAN SUNNY (old),,SUNNY (old),,False,SUNNY (old),,,,True,,[],[],,NISSAN
3059bceaaa45eb54dcb22fa7933243da,NISSAN,[],,,,,NISSAN X-TERRA,,X-TERRA,,False,X-TERRA,,,,True,,[],[],,NISSAN
e86f66c4ac77539a797c2f17ddad8178,NISSAN,[],,,,,NISSAN X-TERRA (old),,X-TERRA (old),,False,X-TERRA (old),,,,True,,[],[],,NISSAN
785b817b020428a5cf1bdcc050734ffd,NISSAN,[],,,,,NISSAN X-TRAIL,,X-TRAIL,,False,X-TRAIL,,,,True,,[],[],,NISSAN
80c632c852ef831d306f499dc7b0ea64,NISSAN,[],,,,,NISSAN X-TRAIL (old),,X-TRAIL (old),,False,X-TRAIL (old),,,,True,,[],[],,NISSAN
e78a5432eab2c5c65f415b11331b397b,NISSAN,[],,,,,NISSAN X-TRAIL (old),,X-TRAIL (old),,False,X-TRAIL (old),,,,True,,[],[],,NISSAN
cefee3ac14cc5b3d0260e7dcbe4d9009,PEUGEOT,[],,,,,PEUGEOT 2008,,2008,,False,2008,,,,True,,[],[],,PEUGEOT
3cf9bd8bb6e0879246258a399fb00fdf,PEUGEOT,[],,,,,PEUGEOT 3008,,3008,,False,3008,,,,True,,[],[],,PEUGEOT
a67b6ebc1b3eb1750c54acddcde13942,PEUGEOT,[],,,,,PEUGEOT 3008 (old),,3008 (old),,False,3008 (old),,,,True,,[],[],,PEUGEOT
