deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,MITSUBISHI,[],"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6f4bc7a0d596e482637140aa950ed61a_FuelTankVolume'}]",,,True,[],,,XPANDER,MITSUBISHI,,,,XPANDER,,6f4bc7a0d596e482637140aa950ed61a,,,,MITSUBISHI XPANDER
False,NISSAN,[],[],,,True,[],,,ALTIMA,NISSAN,,,,ALTIMA,,a08b49228145abb53c9b1021db14a6a4,,,,NISSAN ALTIMA
False,NISSAN,[],[],,,True,[],,,ALTIMA (old),NISSAN,,,,ALTIMA (old),,cec860fcc1c9cc4804d49045ab600ddd,,,,NISSAN ALTIMA (old)
False,NISSAN,[],[],,,True,[],,,ALTIMA 2.5L,NISSAN,,,,ALTIMA 2.5L,,1ed9a48e36b8608499189d1e053660f2,,,,NISSAN ALTIMA 2.5L
False,NISSAN,[],[],,,True,[],,,KICKS,NISSAN,,,,KICKS,,403c61975d3859705831866d3a2a3b38,,,,NISSAN KICKS
False,NISSAN,[],[],,,True,[],,,KICKS SV,NISSAN,,,,KICKS SV,,520b2a9ef847d30967a3c3e9d22a1a23,,,,NISSAN KICKS SV
False,NISSAN,[],[],,,True,[],,,KICKS SV (old),NISSAN,,,,KICKS SV (old),,8c34ad8687a9af309fec73c2229cfc9f,,,,NISSAN KICKS SV (old)
False,NISSAN,[],[],,,True,[],,,KICKS SV (old),NISSAN,,,,KICKS SV (old),,9542aee84cd617a5e11435c62fdfff06,,,,NISSAN KICKS SV (old)
False,NISSAN,[],[],,,True,[],,,SUNNY,NISSAN,,,,SUNNY,,1e55ebb06b36ccd86d144c55e7e368fb,,,,NISSAN SUNNY
False,NISSAN,[],[],,,True,[],,,SUNNY (old),NISSAN,,,,SUNNY (old),,d1b6d956dcdad1173d92c0116c94f92b,,,,NISSAN SUNNY (old)
False,NISSAN,[],[],,,True,[],,,X-TERRA,NISSAN,,,,X-TERRA,,3059bceaaa45eb54dcb22fa7933243da,,,,NISSAN X-TERRA
False,NISSAN,[],[],,,True,[],,,X-TERRA (old),NISSAN,,,,X-TERRA (old),,e86f66c4ac77539a797c2f17ddad8178,,,,NISSAN X-TERRA (old)
False,NISSAN,[],[],,,True,[],,,X-TRAIL,NISSAN,,,,X-TRAIL,,785b817b020428a5cf1bdcc050734ffd,,,,NISSAN X-TRAIL
False,NISSAN,[],[],,,True,[],,,X-TRAIL (old),NISSAN,,,,X-TRAIL (old),,80c632c852ef831d306f499dc7b0ea64,,,,NISSAN X-TRAIL (old)
False,NISSAN,[],[],,,True,[],,,X-TRAIL (old),NISSAN,,,,X-TRAIL (old),,e78a5432eab2c5c65f415b11331b397b,,,,NISSAN X-TRAIL (old)
False,PEUGEOT,[],[],,,True,[],,,2008,PEUGEOT,,,,2008,,cefee3ac14cc5b3d0260e7dcbe4d9009,,,,PEUGEOT 2008
False,PEUGEOT,[],[],,,True,[],,,3008,PEUGEOT,,,,3008,,3cf9bd8bb6e0879246258a399fb00fdf,,,,PEUGEOT 3008
False,PEUGEOT,[],[],,,True,[],,,3008 (old),PEUGEOT,,,,3008 (old),,a67b6ebc1b3eb1750c54acddcde13942,,,,PEUGEOT 3008 (old)
False,RENAULT,[],[],,,True,[],,,DUSTER,RENAULT,,,,DUSTER,,14e58e0e7e9c6f7feb7f190a935b273f,,,,RENAULT DUSTER
False,RENAULT,[],[],,,True,[],,,DUSTER (old),RENAULT,,,,DUSTER (old),,39234628e16eaa43e001e2f6e379941c,,,,RENAULT DUSTER (old)
