manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
MITSUBISHI,,"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6f4bc7a0d596e482637140aa950ed61a_FuelTankVolume'}]",,XPANDER,,,True,XPANDER,,MITSUBISHI,,,,,[],,[],False,,MITSUBISHI XPANDER,6f4bc7a0d596e482637140aa950ed61a
NISSAN,,[],,ALTIMA,,,True,ALTIMA,,NISSAN,,,,,[],,[],False,,NISSAN ALTIMA,a08b49228145abb53c9b1021db14a6a4
NISSAN,,[],,ALTIMA (old),,,True,ALTIMA (old),,NISSAN,,,,,[],,[],False,,NISSAN ALTIMA (old),cec860fcc1c9cc4804d49045ab600ddd
NISSAN,,[],,ALTIMA 2.5L,,,True,ALTIMA 2.5L,,NISSAN,,,,,[],,[],False,,NISSAN ALTIMA 2.5L,1ed9a48e36b8608499189d1e053660f2
NISSAN,,[],,KICKS,,,True,KICKS,,NISSAN,,,,,[],,[],False,,NISSAN KICKS,403c61975d3859705831866d3a2a3b38
NISSAN,,[],,KICKS SV,,,True,KICKS SV,,NISSAN,,,,,[],,[],False,,NISSAN KICKS SV,520b2a9ef847d30967a3c3e9d22a1a23
NISSAN,,[],,KICKS SV (old),,,True,KICKS SV (old),,NISSAN,,,,,[],,[],False,,NISSAN KICKS SV (old),8c34ad8687a9af309fec73c2229cfc9f
NISSAN,,[],,KICKS SV (old),,,True,KICKS SV (old),,NISSAN,,,,,[],,[],False,,NISSAN KICKS SV (old),9542aee84cd617a5e11435c62fdfff06
NISSAN,,[],,SUNNY,,,True,SUNNY,,NISSAN,,,,,[],,[],False,,NISSAN SUNNY,1e55ebb06b36ccd86d144c55e7e368fb
NISSAN,,[],,SUNNY (old),,,True,SUNNY (old),,NISSAN,,,,,[],,[],False,,NISSAN SUNNY (old),d1b6d956dcdad1173d92c0116c94f92b
NISSAN,,[],,X-TERRA,,,True,X-TERRA,,NISSAN,,,,,[],,[],False,,NISSAN X-TERRA,3059bceaaa45eb54dcb22fa7933243da
NISSAN,,[],,X-TERRA (old),,,True,X-TERRA (old),,NISSAN,,,,,[],,[],False,,NISSAN X-TERRA (old),e86f66c4ac77539a797c2f17ddad8178
NISSAN,,[],,X-TRAIL,,,True,X-TRAIL,,NISSAN,,,,,[],,[],False,,NISSAN X-TRAIL,785b817b020428a5cf1bdcc050734ffd
NISSAN,,[],,X-TRAIL (old),,,True,X-TRAIL (old),,NISSAN,,,,,[],,[],False,,NISSAN X-TRAIL (old),80c632c852ef831d306f499dc7b0ea64
NISSAN,,[],,X-TRAIL (old),,,True,X-TRAIL (old),,NISSAN,,,,,[],,[],False,,NISSAN X-TRAIL (old),e78a5432eab2c5c65f415b11331b397b
PEUGEOT,,[],,2008,,,True,2008,,PEUGEOT,,,,,[],,[],False,,PEUGEOT 2008,cefee3ac14cc5b3d0260e7dcbe4d9009
PEUGEOT,,[],,3008,,,True,3008,,PEUGEOT,,,,,[],,[],False,,PEUGEOT 3008,3cf9bd8bb6e0879246258a399fb00fdf
PEUGEOT,,[],,3008 (old),,,True,3008 (old),,PEUGEOT,,,,,[],,[],False,,PEUGEOT 3008 (old),a67b6ebc1b3eb1750c54acddcde13942
RENAULT,,[],,DUSTER,,,True,DUSTER,,RENAULT,,,,,[],,[],False,,RENAULT DUSTER,14e58e0e7e9c6f7feb7f190a935b273f
RENAULT,,[],,DUSTER (old),,,True,DUSTER (old),,RENAULT,,,,,[],,[],False,,RENAULT DUSTER (old),39234628e16eaa43e001e2f6e379941c
RENAULT,,[],,DUSTER SE,,,True,DUSTER SE,,RENAULT,,,,,[],,[],False,,RENAULT DUSTER SE,cc9252d08e2440c985b3be4dd122bccd
RENAULT,,[],,KOLEOS,,,True,KOLEOS,,RENAULT,,,,,[],,[],False,,RENAULT KOLEOS,4a479c24d47a5c8f389d94a91d083e20
RENAULT,,[],,KOLEOS (old),,,True,KOLEOS (old),,RENAULT,,,,,[],,[],False,,RENAULT KOLEOS (old),a0a9c88365580c0f3110b78b063e946b
RENAULT,,[],,MEGANE,,,True,MEGANE,,RENAULT,,,,,[],,[],False,,RENAULT MEGANE,36025a2c761797877da57ad2da94052b
RENAULT,,[],,MEGANE (old),,,True,MEGANE (old),,RENAULT,,,,,[],,[],False,,RENAULT MEGANE (old),e952e5a2d0d57bf2e0aa01da76243f9e
SUZUKI,,[],,CIAZ GLX MID OPTION,,,True,CIAZ GLX MID OPTION,,SUZUKI,,,,,[],,[],False,,SUZUKI CIAZ GLX MID OPTION,385e2895a11e60ed0ca90f9fb4b37ba2
TOYOTA,,[],,CAMRY,,,True,CAMRY,,TOYOTA,,,,,[],,[],False,,TOYOTA CAMRY,7fd26b9dcf5bb8cde9466f96b921f3e8
TOYOTA,,[],,CAMRY HYBRID,,,True,CAMRY HYBRID,,TOYOTA,,,,,[],,[],False,,TOYOTA CAMRY HYBRID,a8cac4af14714ea95c9c1680948eb328
TOYOTA,,[],,CAMRY HYBRID (old),,,True,CAMRY HYBRID (old),,TOYOTA,,,,,[],,[],False,,TOYOTA CAMRY HYBRID (old),ec58d55de612d0188e7c00d61dfd8121
TOYOTA,,[],,CH-R HYBRID,,,True,CH-R HYBRID,,TOYOTA,,,,,[],,[],False,,TOYOTA CH-R HYBRID,7430fe7117379dbbd4e34205b6260161
TOYOTA,,[],,CHR HYBRID,,,True,CHR HYBRID,,TOYOTA,,,,,[],,[],False,,TOYOTA CHR HYBRID,7cc5f3e5d435fb5c63dc93c4aa8afc4e
TOYOTA,,[],,COROLLA,,,True,COROLLA,,TOYOTA,,,,,[],,[],False,,TOYOTA COROLLA,6995c2fb8a459c1a32b884e10d0ad2dd
TOYOTA,,[],,COROLLA CROSS HYBRID TOP SPEC,,,True,COROLLA CROSS HYBRID TOP SPEC,,TOYOTA,,,,,[],,[],False,,TOYOTA COROLLA CROSS HYBRID TOP SPEC,0aa7fb0a09e87706bfc0f6d5093a40dd
TOYOTA,,[],,FORTUNER,,,True,FORTUNER,,TOYOTA,,,,,[],,[],False,,TOYOTA FORTUNER,418fe1158935bee226bc51b87c64fb1a
TOYOTA,,[],,HIGHLANDER HYBRID,,,True,HIGHLANDER HYBRID,,TOYOTA,,,,,[],,[],False,,TOYOTA HIGHLANDER HYBRID,2b3dce153d1364ca149e338ab225d1bb
VOLKSWAGEN,,[],,T-ROC LIFE+,,,True,T-ROC LIFE+,,VOLKSWAGEN,,,,,[],,[],False,,VOLKSWAGEN T-ROC LIFE+,271da930a044041a5ead0948efe7dbb4
VOLKSWAGEN,,[],,T-ROC R-LINE,,,True,T-ROC R-LINE,,VOLKSWAGEN,,,,,[],,[],False,,VOLKSWAGEN T-ROC R-LINE,04cccbb0f01a0eff21e57f181c5bf951
VOLKSWAGEN,,[],,T-ROC R-LINE (old),,,True,T-ROC R-LINE (old),,VOLKSWAGEN,,,,,[],,[],False,,VOLKSWAGEN T-ROC R-LINE (old),74146a95455182e0cb2bbe86c7ec3b11
VOLKSWAGEN,,[],,TERAMONT,,,True,TERAMONT,,VOLKSWAGEN,,,,,[],,[],False,,VOLKSWAGEN TERAMONT,5d8224841914c428e4ef7d5fe9105028
