stage,until,type,offer_id,user_id,status_title,tag_id,status,since
,1722701400,on_hold,,,rental.status.on_hold.title,df059423-02f5-48a5-9c48-f31c73f46257,on_hold,1722010200
,1721985780,on_hold,,,rental.status.on_hold.title,51676445-23a6-4f89-be2c-24e2c50752aa,on_hold,1721726580
,1722367680,on_hold,,,rental.status.on_hold.title,48c9b854-f936-4bad-9b9d-1920e2008e53,on_hold,1722281280
,1722360420,on_hold,,,rental.status.on_hold.title,f7871304-1ed3-46da-a820-b7cd472e60d2,on_hold,1722014820
,1722694920,on_hold,,,rental.status.on_hold.title,94038a66-05ef-495f-95dc-f10cec3806e1,on_hold,1722090120
,1722158760,on_hold,,,rental.status.on_hold.title,1ab651f2-3918-41e7-9614-bb95868031b8,on_hold,1722072360
,1722609060,on_hold,,,rental.status.on_hold.title,8aca73bc-7e66-49e0-b3eb-be5782269c6a,on_hold,1722436260
,1722703440,on_hold,,,rental.status.on_hold.title,14d4679e-bf36-4322-aee1-29792dac7162,on_hold,1720197840
,1722793020,on_hold,,,rental.status.on_hold.title,6ba4f5ab-c031-4276-9bdf-1ce71452e60f,on_hold,1722274620
,1722530580,on_hold,,,rental.status.on_hold.title,38b06dfa-1216-4752-bf45-0181e7402ba1,on_hold,1722444180
,1722331980,on_hold,,,rental.status.on_hold.title,f143a286-6b09-46d2-b045-fe6a74b4a590,on_hold,1722245580
,1722943140,on_hold,,,rental.status.on_hold.title,2749171c-2925-4b1a-b7c0-7eea04fad96d,on_hold,1722424740
,1723293240,on_hold,,,rental.status.on_hold.title,d104bd1f-28c9-4220-8382-4c1c13ef111e,on_hold,1722083640
,1722039000,on_hold,,,rental.status.on_hold.title,f99ca548-b3f8-4284-acd3-7b7f1246619d,on_hold,1721779800
,1722351840,on_hold,,,rental.status.on_hold.title,1f57e458-c02e-4e98-91ea-3c076841cd6c,on_hold,1722265440
,1722432600,on_hold,,,rental.status.on_hold.title,59096877-a25b-4a7a-9c6e-72030643c381,on_hold,1721827800
,1722771660,on_hold,,,rental.status.on_hold.title,c9b369f1-bf27-45c0-8d20-1c4ecc93b1ca,on_hold,1722512460
,1722582240,on_hold,,,rental.status.on_hold.title,f5937449-120b-49bb-88d2-459116bc1cd4,on_hold,1721977440
,1722359700,on_hold,,,rental.status.on_hold.title,997f70e4-bb45-4112-9105-c6411a308b0d,on_hold,1722273300
,1724317920,on_hold,,,rental.status.on_hold.title,35cc0f04-fe23-4eab-80f7-1467d11806b8,on_hold,1719133920
,1724090940,on_hold,,,rental.status.on_hold.title,c67b32f0-895a-4266-91dc-4e1a67c75217,on_hold,1721498940
,1723993080,on_hold,,,rental.status.on_hold.title,b0ff1f3f-3f80-483e-aebd-949108e6812e,on_hold,1721401080
,1722240540,on_hold,,,rental.status.on_hold.title,f324815c-de32-4742-9d92-fa50d3ffd2ab,on_hold,1721722140
,1722758940,on_hold,,,rental.status.on_hold.title,8218b816-5c96-45e1-a410-ea557e2b2d01,on_hold,1722240540
,1722153300,on_hold,,,rental.status.on_hold.title,e8edda88-97fc-49ea-827c-85ce01fa2448,on_hold,1722066900
,1722702840,on_hold,,,rental.status.on_hold.title,9a0c8044-f5a8-46cd-b548-6fa1bcc839f7,on_hold,1722443640
,1722153840,on_hold,,,rental.status.on_hold.title,a93aad82-ccc3-4f08-994f-ba0a39a83df4,on_hold,1722067440
,1722540900,on_hold,,,rental.status.on_hold.title,dda8c1fd-2608-414e-82c0-24f8ee0ed14b,on_hold,1722281700
,1722164220,on_hold,,,rental.status.on_hold.title,982d3257-83f8-4c3d-99c9-0e2eb0f48f4e,on_hold,1721991420
,1722492120,on_hold,,,rental.status.on_hold.title,68b9dd84-a6b2-41ca-8f3b-beb147ff5b54,on_hold,1722405720
