WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2021,NISSAN PATROL,,4,A M G A RENT A CAR L.L.C.,,114025,5,630.0,0.0,2475,96461,-1,2,00971503694779,46974,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2024,MERCEDES G63,"[{'ReservationKey': 0, 'CarKey': 127633, 'CustomerName': 'Running Contract, 22442', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/19/2024 2:00:00 PM', 'ToDateTime': '4/20/2024 2:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,127633,5,630.0,0.0,2475,6429,-1,2,00971503694779,85881,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2024,BMW X5,,4,A M G A RENT A CAR L.L.C.,,104221,5,630.0,0.0,2475,18437,-1,2,00971503694779,58810,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2024,BMW X6,,4,A M G A RENT A CAR L.L.C.,,104222,5,630.0,0.0,2475,24999,-1,2,00971503694779,59694,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,KIA CARNIVAL,,4,A M G A RENT A CAR L.L.C.,,141949,5,630.0,0.0,2475,23165,-1,2,00971503694779,98295,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,"[{'ReservationKey': 0, 'CarKey': 71357, 'CustomerName': 'Running Contract, 22865', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/4/2024 6:01:00 PM', 'ToDateTime': '6/29/2024 6:01:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,71357,5,630.0,0.0,2475,46920,-1,2,00971503694779,84123,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2021,CADILLAC ESCALADE,,4,A M G A RENT A CAR L.L.C.,,39858,5,630.0,0.0,2475,105768,-1,2,00971503694779,58934,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2021,MERCEDES BENZ C-200,"[{'ReservationKey': 0, 'CarKey': 39859, 'CustomerName': 'Running Contract, 23361', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:09:00 PM', 'ToDateTime': '8/3/2024 8:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,39859,5,630.0,0.0,2475,88180,-1,2,00971503694779,64325,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2021,NISSAN PATROL,,4,A M G A RENT A CAR L.L.C.,,39860,5,630.0,0.0,2475,62895,-1,2,00971503694779,63530,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,FERRARI F8 SPIDER,,4,A M G A RENT A CAR L.L.C.,,113406,5,630.0,0.0,2475,13761,-1,2,00971503694779,85889,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2022,HYUNDAI TUCSON,"[{'ReservationKey': 0, 'CarKey': 39862, 'CustomerName': 'Running Contract, 22908', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/11/2024 10:40:00 PM', 'ToDateTime': '7/18/2024 10:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,39862,5,630.0,0.0,2475,73856,-1,2,00971503694779,24598,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2022,KIA SPORTAGE,"[{'ReservationKey': 0, 'CarKey': 39863, 'CustomerName': 'Running Contract, 22937', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/16/2024 11:50:00 PM', 'ToDateTime': '7/6/2024 11:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,39863,5,630.0,0.0,2475,74136,-1,2,00971503694779,48721,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2022,KIA SPORTAGE,,4,A M G A RENT A CAR L.L.C.,,39864,5,630.0,0.0,2475,66018,-1,2,00971503694779,66019,Al Garhoud Complex,2400.0,4,100.0,Dubai
