Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 98051, 'CustomerName': 'Running Contract, 1235', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/26/2024 11:15:00 PM', 'ToDateTime': '4/25/2024 11:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,72569,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,98051,11449,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 98052, 'CustomerName': 'Running Contract, 1369', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/18/2024 7:30:00 PM', 'ToDateTime': '8/17/2024 7:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,78859,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,98052,15744,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 116730, 'CustomerName': 'Running Contract, 1367', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/13/2024 3:50:00 PM', 'ToDateTime': '7/20/2024 3:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,DUBAI,UAE,4,2024,89067,2826,-1,-1.0,770.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2100.0,116730,7531,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 116731, 'CustomerName': 'Running Contract, 1347', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 11:00:00 AM', 'ToDateTime': '7/24/2024 11:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,DUBAI,UAE,4,2024,89793,2826,-1,-1.0,770.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2100.0,116731,8595,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 92756, 'CustomerName': 'Running Contract, 1381', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 6:00:00 PM', 'ToDateTime': '8/1/2024 6:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,19115,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,92756,18010,KIA SONET
"[{'ReservationKey': 0, 'CarKey': 116722, 'CustomerName': 'Running Contract, 1282', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/20/2024 12:05:00 PM', 'ToDateTime': '5/20/2024 12:05:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",170.0,,DUBAI,UAE,4,2024,40377,2826,-1,-1.0,1050.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,3000.0,116722,4953,KIA SONET
"[{'ReservationKey': 0, 'CarKey': 128791, 'CustomerName': 'Running Contract, 1377', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 8:30:00 PM', 'ToDateTime': '7/27/2024 8:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",170.0,,DUBAI,UAE,4,2024,56088,2826,-1,-1.0,1050.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,3000.0,128791,4888,KIA SONET
"[{'ReservationKey': 0, 'CarKey': 128792, 'CustomerName': 'Running Contract, 1242', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/31/2024 4:35:00 PM', 'ToDateTime': '4/30/2024 4:35:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",170.0,,DUBAI,UAE,4,2024,56089,2826,-1,-1.0,1050.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,3000.0,128792,1,KIA SONET
,100.0,,DUBAI,UAE,4,2023,97873,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,78016,17953,KIA SONET
,100.0,,DUBAI,UAE,4,2019,98596,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,78013,63625,MERCEDES C300
