Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,100.0,,DUBAI,Dubai,4,2016,10098,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61598,0,Hyundai H1
,100.0,,DUBAI,Dubai,4,2020,31735,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61599,112835,Sunny
"[{'ReservationKey': 0, 'CarKey': 61601, 'CustomerName': 'Running Contract, 426557', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/16/2024 4:45:00 PM', 'ToDateTime': '8/15/2024 4:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2020,13592,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61601,148052,Sunny
,100.0,,DUBAI,Dubai,4,2020,54647,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61602,160100,Symbol
,100.0,,DUBAI,Dubai,4,2015,42196,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61604,285688,Lancer
,100.0,,DUBAI,Dubai,4,2015,37287,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61605,299912,Accent
,100.0,,DUBAI,Dubai,4,2018,43358,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61606,0,Elantra
,100.0,,DUBAI,Dubai,4,2018,12924,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61607,161389,Altima
,100.0,,DUBAI,Dubai,4,2023,70297,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61608,53858,TUCSAN
,100.0,,DUBAI,Dubai,4,2020,90542,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61628,0,Rush
,100.0,,DUBAI,Dubai,4,2020,54617,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61629,103169,Symbol
,100.0,,DUBAI,Dubai,4,2019,14255,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61678,94293,Duster
"[{'ReservationKey': 0, 'CarKey': 61679, 'CustomerName': 'Running Contract, 27807', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '9/28/2023 11:30:00 AM', 'ToDateTime': '10/28/2023 11:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2018,13457,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61679,156499,Altima
,100.0,,DUBAI,Dubai,4,2019,14470,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61680,134800,Pathfinder
,100.0,,DUBAI,Dubai,4,2019,12843,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61681,115914,Sunny
,100.0,,DUBAI,Dubai,4,2015,13793,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61682,190948,Altima
,100.0,,DUBAI,Dubai,4,2020,79455,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61683,146572,Lexus GX 460
,100.0,,DUBAI,Dubai,4,2018,12426,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61684,138367,Altima
,100.0,,DUBAI,Dubai,4,2020,31728,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61644,107911,Attrage
,100.0,,DUBAI,Dubai,4,2015,13618,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61645,405581,Accent
"[{'ReservationKey': 0, 'CarKey': 61646, 'CustomerName': 'Running Contract, 424831', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/12/2024 6:40:00 PM', 'ToDateTime': '2/11/2024 6:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2020,31756,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61646,132990,Sunny
"[{'ReservationKey': 0, 'CarKey': 61648, 'CustomerName': 'Running Contract, 426540', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/14/2024 9:42:00 AM', 'ToDateTime': '8/13/2024 9:42:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2016,70319,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61648,247510,Accent
,100.0,,DUBAI,Dubai,4,2020,31270,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61649,147628,Sunny
