Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 22156, 'CustomerName': 'Running Contract, 16304', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 10:27:21 AM', 'ToDateTime': '8/9/2024 10:27:21 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2022,52192,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22156,58416,CHEVROLET TAHOE
,100.0,,deira,al khabasi,4,2024,9448,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,127685,56715,CULLINAN
"[{'ReservationKey': 0, 'CarKey': 126275, 'CustomerName': 'Running Contract, 16274', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:38:00 PM', 'ToDateTime': '8/3/2024 9:38:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2022,13764,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,126275,102564,DEFENDER
,100.0,,deira,al khabasi,4,2020,79896,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,70513,97162,DODGE CHARGER
,100.0,,deira,al khabasi,4,2022,46217,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,128259,33792,FERRARI F8 TRIBUTO
"[{'ReservationKey': 0, 'CarKey': 98251, 'CustomerName': 'Running Contract, 12698', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/30/2023 3:39:00 PM', 'ToDateTime': '8/30/2023 3:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2018,15793,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,98251,144084,FERRARI-488
"[{'ReservationKey': 0, 'CarKey': 22153, 'CustomerName': 'Running Contract, 15858', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 10:47:01 AM', 'ToDateTime': '8/3/2024 10:47:01 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2021,23719,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22153,44464,FIAT 500
"[{'ReservationKey': 0, 'CarKey': 22166, 'CustomerName': 'Running Contract, 16278', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 9:30:00 AM', 'ToDateTime': '8/2/2024 9:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2020,85547,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22166,147007,FORD FUSION
"[{'ReservationKey': 0, 'CarKey': 69312, 'CustomerName': 'Running Contract, 16303', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 9:44:45 AM', 'ToDateTime': '8/7/2024 9:44:45 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2021,50620,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,69312,83677,FORD MUSTANG
,100.0,,deira,al khabasi,4,2021,60165,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22165,73435,FORD RAPTOR 150
,100.0,,deira,al khabasi,4,2018,78300,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22056,86241,GTC- AMG MERCEDES
,100.0,,deira,al khabasi,4,2018,42788,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22037,101363,INFINITY 80QX
"[{'ReservationKey': 0, 'CarKey': 69310, 'CustomerName': 'Running Contract, 13409', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/21/2023 7:11:00 PM', 'ToDateTime': '11/22/2023 7:11:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2020,52640,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,69310,41043,JAGUAR F-PACE
,100.0,,deira,al khabasi,4,2020,58046,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,98450,65633,JAQUAR 
,100.0,,deira,al khabasi,4,2020,98600,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,112679,68026,LAMBO URUS
"[{'ReservationKey': 0, 'CarKey': 22121, 'CustomerName': 'Running Contract, 10953', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/8/2023 12:45:00 PM', 'ToDateTime': '1/8/2023 12:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2019,31449,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22121,94543,LAMBORGHINI URUS
,100.0,,deira,al khabasi,4,2024,43123,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,132483,128122,LAMBORGHINI URUS
,100.0,,deira,al khabasi,4,2023,49600,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,124031,57616,LAMBORGHINI URUS
"[{'ReservationKey': 0, 'CarKey': 120191, 'CustomerName': 'Running Contract, 15862', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:15:00 PM', 'ToDateTime': '7/31/2024 12:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2020,74584,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,120191,23480,LAND ROVER DEFENDER
,100.0,,deira,al khabasi,4,2017,36193,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22034,122082,LAND ROVER RANGE SPORT
,100.0,,deira,al khabasi,4,2021,64990,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,112680,17777,LEXUS GX 460
"[{'ReservationKey': 0, 'CarKey': 70514, 'CustomerName': 'Running Contract, 13833', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '12/28/2023 1:22:35 PM', 'ToDateTime': '12/29/2023 1:22:35 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2019,79563,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,70514,51949,MASERATI GHIBLI
,100.0,,deira,al khabasi,4,2021,21428,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22154,90027,MERCEDES A220
,100.0,,deira,al khabasi,4,2019,42948,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22162,96974,MERCEDES A220
,100.0,,deira,al khabasi,4,2020,46834,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,69369,34466,MERCEDES A220
"[{'ReservationKey': 0, 'CarKey': 73140, 'CustomerName': 'Running Contract, 16280', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 12:07:05 PM', 'ToDateTime': '8/3/2024 12:07:05 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2020,81593,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,73140,82037,MERCEDES A220
